ID	Coding frame used	Tone
443	Civilian casualties	40
445	Not applicable	
446	Not applicable	
448	Not applicable	
449	Not applicable	
450	Not applicable	
451	Justification: WMDs	16
451	Justification: Humanitarian (Blairite)	16
452	Not applicable	
453	Strategy	27
454	Justification: Humanitarian (Blairite)	19
454	Battle	35
454	Justification: WMDs	19
453	Justification: WMDs	19
455	Justification: Humanitarian (Blairite)	19
455	Justification: WMDs	19
457	Battle	25
458	Battle	41
458	Justification: Humanitarian (Blairite)	41
459	Battle	40
459	Justification: WMDs	19
460	Not applicable	
461	Battle	33
461	Justification: Humanitarian (Blairite)	33
462	Not applicable	
463	Not applicable	
464	Battle	32
465	Not applicable	
466	Battle	19
468	Battle	19
469	Strategy	19
470	Justification: WMDs	19
470	Justification: Humanitarian (Blairite)	19
471	Not applicable	
472	Not applicable	
473	Not applicable	
476	Battle	19
476	Strategy	19
477	Not applicable	
478	Not applicable	
479	Battle	32
480	Humanitarian issues (aid delivery)	32
481	Battle	25
484	Strategy	40
485	Battle	32
486	Strategy	32
488	Strategy	27
489	Not applicable	
490	Not applicable	
492	Not applicable	
494	Humanitarian issues (aid delivery)	24
495	Justification: War on Terror	24
496	Justification: WMDs	19
497	Not applicable	
499	Not applicable	
500	Civilian casualties	25
501	Not applicable	
503	Not applicable	
504	Not applicable	
506	Civilian casualties	25
507	Battle	40
508	Not applicable	
511	Justification: WMDs	24
511	Justification: War on Terror	24
512	Not applicable	
515	Battle	27
516	Strategy	24
517	Civilian casualties	25
517	Strategy	25
519	Humanitarian issues (aid delivery)	32
520	Not applicable	
521	Strategy	32
521	Justification: WMDs	32
522	Strategy	40
523	Not applicable	
525	Battle	25
526	Justification: WMDs	24
527	Humanitarian issues (aid delivery)	24
528	Not applicable	
529	Not applicable	
530	Not applicable	
531	Not applicable	
532	Not applicable	
533	Not applicable	
534	Battle	19
535	Not applicable	
536	Not applicable	
537	Battle	40
538	Not applicable	
539	Not applicable	
540	Not applicable	
542	Strategy	25
543	Strategy	26
543	Justification: Humanitarian (Blairite)	34
544	Battle	33
544	Justification: Humanitarian (Blairite)	33
545	Battle	32
546	Justification: WMDs	34
547	Not applicable	
548	Justification: WMDs	24
549	Not applicable	
550	Justification: WMDs	27
551	Humanitarian issues (aid delivery)	33
552	Not applicable	
553	Not applicable	
554	Not applicable	
555	Not applicable	
556	Humanitarian issues (aid delivery)	23
557	Not applicable	
560	Not applicable	
561	Not applicable	
562	Not applicable	
563	Justification: WMDs	48
563	Justification: War on Terror	40
563	Justification: Humanitarian (Blairite)	40
564	Battle	32
565	Battle	25
566	Battle	25
567	Civilian casualties	33
568	Battle	33
569	Not applicable	
570	Battle	19
80	Justification: Humanitarian (Blairite)	19
575	Not applicable	
576	Not applicable	
577	Not applicable	
578	Not applicable	
580	Justification: Humanitarian (Blairite)	19
581	Not applicable	
582	Not applicable	
584	Not applicable	
585	Not applicable	
586	Not applicable	
588	Not applicable	
589	Not applicable	
590	Not applicable	
591	Not applicable	
593	Justification: Humanitarian (Blairite)	40
593	Justification: War on Terror	40
594	Not applicable	
595	Not applicable	
596	Battle	33
597	Not applicable	
598	Battle	41
599	Battle	19
600	Battle	40
602	Not applicable	
604	Battle	33
604	Justification: WMDs	33
605	Justification: WMDs	40
605	Battle	32
606	Justification: WMDs	41
606	Justification: Humanitarian (Blairite)	41
606	Justification: War on Terror	41
607	Justification: War on Terror	33
608	Not applicable	
609	Not applicable	
610	Not applicable	
611	Not applicable	
612	Not applicable	
613	Battle	19
615	Not applicable	
616	Not applicable	
617	Not applicable	
618	Not applicable	
619	Battle	25
619	Justification: WMDs	25
620	Battle	40
622	Battle	40
623	Strategy	32
624	Civilian casualties	24
625	Battle	40
626	Justification: WMDs	33
626	Justification: Humanitarian (Blairite)	33
626	Justification: War on Terror	33
626	Civilian casualties	25
627	Justification: War on Terror	24
631	Battle	40
632	Not applicable	
633	Battle	25
633	Justification: WMDs	25
634	Battle	26
635	Not applicable	
636	Justification: Humanitarian (Blairite)	11
638	Not applicable	
639	Justification: Humanitarian (Blairite)	19
640	Not applicable	
641	Not applicable	
574	Not applicable	
642	Battle	32
643	Battle	40
644	Battle	40
645	Battle	33
647	Strategy	26
648	Battle	32
650	Strategy	26
651	Not applicable	
652	Civilian casualties	19
653	Justification: WMDs	33
653	Justification: War on Terror	33
655	Justification: Humanitarian (Blairite)	11
656	Not applicable	
657	Not applicable	
658	Not applicable	
659	Not applicable	
660	Not applicable	
661	Battle	40
662	Civilian casualties	24
662	Justification: War on Terror	18
663	Battle	40
663	Strategy	26
665	Justification: WMDs	33
665	Justification: Humanitarian (Blairite)	33
665	Justification: War on Terror	33
666	Civilian casualties	17
667	Not applicable	
668	Battle	31
669	Justification: WMDs	27
669	Battle	27
670	Not applicable	
671	Not applicable	
672	Justification: WMDs	27
674	Not applicable	
675	Not applicable	
676	Justification: War on Terror	18
678	Not applicable	
679	Not applicable	
680	Justification: Humanitarian (Blairite)	24
681	Justification: WMDs	25
682	Not applicable	
683	Not applicable	
684	Not applicable	
685	Justification: WMDs	24
686	Not applicable	
687	Not applicable	
688	Justification: War on Terror	18
689	Not applicable	
690	Not applicable	
691	Not applicable	
692	Justification: WMDs	24
692	Justification: Humanitarian (Blairite)	40
693	Battle	40
694	Battle	26
695	Justification: War on Terror	33
695	Justification: Humanitarian (Blairite)	33
696	Not applicable	
697	Humanitarian issues (aid delivery)	31
698	Battle	26
701	Battle	33
702	Battle	32
703	Not applicable	
704	Battle	26
705	Strategy	32
706	Battle	27
707	Not applicable	
708	Not applicable	
709	Not applicable	
710	Justification: Humanitarian (Blairite)	24
711	Not applicable	
712	Not applicable	
713	Justification: War on Terror	18
715	Justification: War on Terror	26
435	Not applicable	
716	Not applicable	
718	Not applicable	
720	Not applicable	
721	Not applicable	
722	Justification: Humanitarian (Blairite)	25
723	Not applicable	
724	Battle	40
725	Battle	26
727	Battle	32
728	Not applicable	
729	Battle	32
729	Strategy	32
730	Battle	33
732	Not applicable	
733	Battle	19
735	Battle	25
737	Humanitarian issues (aid delivery)	24
738	Not applicable	
739	Battle	27
739	Justification: WMDs	19
740	Battle	27
741	Justification: WMDs	25
743	Battle	19
744	Justification: WMDs	26
744	Battle	26
745	Not applicable	
746	Not applicable	
747	Not applicable	
748	Not applicable	
750	Not applicable	
751	Not applicable	
752	Not applicable	
754	Not applicable	
756	Not applicable	
757	Humanitarian issues (aid delivery)	07
758	Battle	26
759	Not applicable	
760	Not applicable	
761	Not applicable	
764	Strategy	34
764	Justification: War on Terror	33
765	Not applicable	
766	Battle	40
767	Battle	40
768	Justification: WMDs	33
768	Justification: Humanitarian (Blairite)	33
768	Justification: War on Terror	33
769	Strategy	40
770	Not applicable	
771	Battle	25
771	Justification: WMDs	25
772	Battle	26
773	Battle	33
776	Strategy	40
777	Battle	40
778	Not applicable	
779	Not applicable	
780	Battle	25
780	Justification: WMDs	19
781	Justification: WMDs	27
782	Not applicable	
784	Strategy	26
785	Not applicable	
787	Not applicable	
788	Not applicable	
789	Not applicable	
790	Not applicable	
792	Not applicable	
786	Justification: War on Terror	18
793	Civilian casualties	25
796	Not applicable	
797	Not applicable	
798	Justification: Humanitarian (Blairite)	40
799	Not applicable	
800	Not applicable	
801	Justification: Humanitarian (Blairite)	40
225	Justification: Humanitarian (Blairite)	19
278	Justification: WMDs	33
802	Not applicable	
803	Battle	40
804	Battle	40
805	Battle	19
806	Not applicable	
807	Justification: Humanitarian (Blairite)	11
807	Justification: WMDs	19
808	Not applicable	
809	Not applicable	
810	Battle	33
811	Battle	40
812	Battle	40
813	Battle	26
815	Coalition military casualties	25
816	Coalition military casualties	25
817	Coalition military casualties	25
818	Coalition military casualties	25
820	Battle	33
821	Not applicable	
822	Justification: Humanitarian (Blairite)	19
823	Battle	40
827	Justification: Humanitarian (Blairite)	42
827	Justification: War on Terror	42
828	Not applicable	
829	Battle	19
830	Battle	26
831	Justification: War on Terror	16
832	Battle	32
833	Battle	26
834	Not applicable	
835	Battle	40
836	Battle	32
837	Justification: War on Terror	18
838	Not applicable	
839	Battle	31
840	Battle	33
841	Coalition military casualties	32
841	Battle	33
843	Not applicable	
844	Not applicable	
845	Battle	32
846	Not applicable	
847	Not applicable	
848	Not applicable	
851	Justification: WMDs	24
852	Battle	33
853	Not applicable	
854	Not applicable	
855	Battle	40
856	Strategy	40
857	Not applicable	
858	Not applicable	
859	Battle	40
860	Battle	33
861	Battle	33
862	Battle	19
863	Coalition military casualties	24
864	Coalition military casualties	25
865	Coalition military casualties	25
867	Battle	40
868	Not applicable	
869	Justification: Humanitarian (Blairite)	11
870	Not applicable	
871	Not applicable	
872	Battle	32
873	Battle	40
874	Not applicable	
875	Battle	19
876	Battle	26
877	Battle	32
878	Battle	33
879	Battle	26
880	Coalition military casualties	32
880	Battle	32
881	Coalition military casualties	25
882	Not applicable	
887	Not applicable	
888	Not applicable	
889	Not applicable	
890	Not applicable	
891	Battle	40
892	Not applicable	
893	Battle	31
894	Humanitarian issues (aid delivery)	28
895	Not applicable	
896	Not applicable	
897	Battle	40
898	Not applicable	
899	Not applicable	
900	Not applicable	
901	Battle	40
902	Justification: Humanitarian (Blairite)	40
903	Not applicable	
904	Coalition military casualties	25
905	Battle	32
906	Battle	40
907	Strategy	26
908	Not applicable	
910	Battle	19
911	Not applicable	
913	Not applicable	
914	Not applicable	
915	Battle	40
916	Not applicable	
917	Not applicable	
918	Not applicable	
919	Not applicable	
920	Not applicable	
921	Not applicable	
922	Not applicable	
923	Humanitarian issues (aid delivery)	18
924	Not applicable	
925	Battle	32
925	Strategy	26
926	Not applicable	
927	Battle	34
927	Strategy	26
928	Not applicable	
929	Justification: Humanitarian (Blairite)	26
930	Battle	40
931	Battle	34
932	Battle	19
933	Not applicable	
934	Battle	33
935	Battle	40
937	Not applicable	
938	Not applicable	
939	Not applicable	
941	Strategy	26
942	Coalition military casualties	32
942	Battle	32
943	Coalition military casualties	25
944	Not applicable	
945	Not applicable	
946	Justification: Humanitarian (Blairite)	40
946	Justification: War on Terror	18
947	Not applicable	
948	Not applicable	
949	Not applicable	
950	Not applicable	
951	Not applicable	
952	Not applicable	
953	Not applicable	
954	Not applicable	
955	Not applicable	
956	Battle	33
956	Humanitarian issues (aid delivery)	33
957	Not applicable	
958	Not applicable	
959	Battle	40
959	Strategy	40
960	Not applicable	
961	Battle	40
962	Battle	34
963	Battle	40
964	Battle	26
965	Battle	27
966	Battle	40
967	Battle	40
968	Battle	33
969	Battle	26
970	Coalition military casualties	25
972	Battle	40
973	Battle	32
974	Battle	40
975	Battle	19
976	Not applicable	
977	Coalition military casualties	25
977	Battle	25
978	Not applicable	
979	Not applicable	
980	Not applicable	
981	Not applicable	
982	Not applicable	
983	Not applicable	
984	Not applicable	
985	Not applicable	
986	Not applicable	
988	Justification: WMDs	33
989	Not applicable	
990	Not applicable	
991	Not applicable	
992	Not applicable	
993	Not applicable	
994	Coalition military casualties	25
995	Not applicable	
996	Coalition military casualties	24
997	Not applicable	
998	Justification: Humanitarian (Blairite)	48
999	Coalition military casualties	33
1000	Battle	40
1000	Civilian casualties	40
1001	Not applicable	
1002	Not applicable	
1003	Not applicable	
1004	Battle	40
1005	Battle	33
1006	Battle	33
1008	Battle	40
1008	Strategy	40
1009	Battle	41
1010	Not applicable	
1011	Not applicable	
1012	Justification: Humanitarian (Blairite)	33
1013	Not applicable	
1015	Not applicable	
1016	Battle	24
1017	Battle	40
1018	Not applicable	
1019	Not applicable	
1020	Not applicable	
1021	Battle	40
1021	Civilian casualties	24
1022	Battle	33
1023	Battle	33
1024	Battle	32
1025	Civilian casualties	32
1025	Battle	40
1026	Justification: War on Terror	16
1026	Civilian casualties	24
1027	Battle	40
1028	Battle	32
1029	Coalition military casualties	17
1030	Coalition military casualties	25
1031	Civilian casualties	24
1031	Battle	32
1036	Not applicable	
1037	Not applicable	
1038	Not applicable	
1039	Not applicable	
1041	Justification: Humanitarian (Blairite)	24
1042	Not applicable	
1043	Not applicable	
1044	Not applicable	
1045	Coalition military casualties	25
1046	Battle	40
1046	Coalition military casualties	17
1047	Battle	33
1048	Coalition military casualties	17
1049	Battle	19
1050	Not applicable	
1051	Not applicable	
1052	Battle	40
353	Justification: Humanitarian (Blairite)	19
1053	Battle	19
1054	Battle	40
1055	Battle	40
1055	Justification: WMDs	19
1056	Not applicable	
1057	Battle	40
1057	Civilian casualties	19
1058	Not applicable	
1059	Battle	33
1060	Humanitarian issues (aid delivery)	31
1061	Not applicable	
1063	Not applicable	
1064	Not applicable	
1065	Not applicable	
1066	Not applicable	
1067	Not applicable	
1068	Not applicable	
1069	Not applicable	
1070	Not applicable	
1071	Coalition military casualties	17
1072	Civilian casualties	16
1072	Justification: War on Terror	24
1073	Battle	32
1074	Coalition military casualties	25
1075	Not applicable	
1076	Coalition military casualties	25
1077	Battle	40
1078	Battle	32
1079	Battle	32
1080	Not applicable	
1081	Not applicable	
1082	Civilian casualties	24
1083	Strategy	26
1085	Not applicable	
1086	Not applicable	
1087	Not applicable	
1088	Not applicable	
1089	Not applicable	
1090	Not applicable	
1091	Not applicable	
1092	Not applicable	
1093	Battle	32
1094	Not applicable	
1095	Not applicable	
1096	Justification: WMDs	19
1096	Justification: Humanitarian (Blairite)	19
1097	Not applicable	
1098	Civilian casualties	24
1098	Battle	40
1099	Civilian casualties	18
1100	Not applicable	
1101	Not applicable	
1102	Not applicable	
1103	Battle	34
1104	Battle	33
1104	Justification: WMDs	19
1105	Humanitarian issues (aid delivery)	33
1106	Battle	40
1107	Strategy	19
1108	Battle	40
1109	Not applicable	
1110	Not applicable	
1111	Not applicable	
1112	Battle	32
1112	Strategy	40
1113	Battle	40
1113	Justification: WMDs	19
1114	Battle	19
1115	Battle	40
1116	Strategy	40
1116	Battle	40
1117	Battle	26
1118	Coalition military casualties	26
1119	Battle	40
1120	Not applicable	
1121	Civilian casualties	24
1122	Battle	40
1123	Coalition military casualties	32
1124	Battle	26
1125	Battle	40
1125	Strategy	40
1126	Not applicable	
1127	Not applicable	
1128	Not applicable	
1129	Battle	31
1130	Humanitarian issues (aid delivery)	24
1132	Battle	40
1132	Justification: WMDs	19
1133	Not applicable	
1134	Justification: War on Terror	24
1135	Not applicable	
1136	Not applicable	
1137	Not applicable	
1138	Not applicable	
1139	Not applicable	
1140	Not applicable	
1141	Not applicable	
1142	Not applicable	
1143	Justification: War on Terror	24
1143	Strategy	24
1144	Justification: Humanitarian (Blairite)	33
1145	Battle	31
1146	Not applicable	
1147	Civilian casualties	32
1148	Not applicable	
1149	Justification: Humanitarian (Blairite)	19
1150	Not applicable	
1151	Not applicable	
1152	Coalition military casualties	25
1153	Battle	40
1154	Not applicable	
1155	Justification: Humanitarian (Blairite)	11
1156	Not applicable	
80	Justification: WMDs	19
81	Justification: Humanitarian (Blairite)	40
81	Justification: WMDs	40
131	Justification: WMDs	24
190	Justification: WMDs	25
210	Justification: WMDs	40
215	Justification: WMDs	25
240	Not applicable	
241	Justification: WMDs	33
313	Justification: WMDs	25
313	Justification: Humanitarian (Blairite)	33
313	Justification: War on Terror	24
315	Justification: War on Terror	32
315	Justification: WMDs	32
346	Justification: Humanitarian (Blairite)	33
387	Not applicable	
389	Humanitarian issues (aid delivery)	40
390	Justification: Humanitarian (Blairite)	11
390	Justification: WMDs	33
646	Justification: WMDs	33
646	Justification: Humanitarian (Blairite)	33
646	Justification: War on Terror	33
717	Justification: WMDs	33
717	Justification: Humanitarian (Blairite)	33
717	Justification: War on Terror	33
753	Justification: WMDs	34
753	Justification: Humanitarian (Blairite)	34
753	Justification: War on Terror	34
762	Justification: WMDs	33
762	Justification: Humanitarian (Blairite)	33
762	Justification: War on Terror	33
795	Not applicable	
1157	Not applicable	
1158	Coalition military casualties	11
1159	Battle	19
1160	Not applicable	
1161	Battle	18
1161	Coalition military casualties	26
1162	Battle	40
1162	Justification: WMDs	19
1163	Not applicable	
1165	Battle	40
1166	Coalition military casualties	11
1167	Not applicable	
1168	Battle	33
1169	Not applicable	
1170	Not applicable	
1171	Coalition military casualties	33
1172	Not applicable	
1173	Not applicable	
1174	Battle	19
1175	Battle	33
1175	Coalition military casualties	32
1176	Not applicable	
1177	Not applicable	
1178	Civilian casualties	16
1179	Battle	18
1180	Coalition military casualties	17
1181	Justification: WMDs	32
1183	Justification: Humanitarian (Blairite)	19
1184	Not applicable	
1185	Not applicable	
1187	Coalition military casualties	98
1188	Coalition military casualties	10
1189	Not applicable	
1190	Battle	24
1192	Civilian casualties	10
1193	Civilian casualties	18
1194	Battle	32
1195	Battle	25
1196	Coalition military casualties	10
1197	Coalition military casualties	25
1198	Battle	32
1199	Not applicable	
1200	Not applicable	
1201	Not applicable	
1202	Civilian casualties	16
1202	Justification: Humanitarian (Blairite)	16
1203	Not applicable	
1204	Coalition military casualties	19
1205	Battle	17
1207	Not applicable	
1208	Battle	19
1209	Not applicable	
1210	Battle	32
1210	Strategy	32
1211	Battle	32
1212	Battle	32
1213	Battle	25
1214	Battle	33
1215	Coalition military casualties	18
1217	Not applicable	
1219	Civilian casualties	19
1219	Justification: Humanitarian (Blairite)	11
1220	Battle	32
1220	Coalition military casualties	17
1221	Battle	24
1222	Battle	27
1224	Battle	18
1225	Battle	19
1226	Battle	32
1226	Civilian casualties	24
1227	Battle	32
1228	Battle	32
1229	Coalition military casualties	24
1230	Coalition military casualties	25
1231	Not applicable	
1232	Coalition military casualties	98
1233	Not applicable	
1236	Battle	25
1237	Battle	25
1237	Justification: WMDs	33
1238	Not applicable	
1239	Not applicable	
1240	Battle	26
1240	Justification: War on Terror	18
1241	Justification: WMDs	40
1242	Not applicable	
1244	Coalition military casualties	32
1245	Battle	18
274	Battle	40
1246	Battle	32
518	Civilian casualties	17
1247	Battle	33
1248	Not applicable	
1249	Not applicable	
1250	Battle	32
1251	Battle	32
1252	Civilian casualties	24
1252	Battle	32
1253	Battle	35
1254	Battle	32
1255	Not applicable	
1256	Not applicable	
1257	Coalition military casualties	98
1258	Not applicable	
1259	Civilian casualties	18
1260	Not applicable	
1261	Strategy	26
1262	Battle	40
1263	Civilian casualties	18
1264	Not applicable	
1265	Not applicable	
1266	Not applicable	
1267	Not applicable	
1268	Not applicable	
1269	Not applicable	
1270	Battle	32
1270	Strategy	32
1271	Battle	24
1272	Not applicable	
1273	Not applicable	
1274	Justification: Humanitarian (Blairite)	33
1274	Battle	25
1275	Coalition military casualties	98
1277	Coalition military casualties	32
1278	Battle	32
1278	Strategy	27
1279	Battle	32
1280	Not applicable	
1281	Battle	32
1282	Not applicable	
1283	Battle	25
1285	Not applicable	
1286	Coalition military casualties	25
1287	Not applicable	
1288	Not applicable	
1289	Not applicable	
1290	Not applicable	
1291	Not applicable	
1292	Not applicable	
1293	Not applicable	
1294	Not applicable	
1295	Not applicable	
1296	Not applicable	
1297	Not applicable	
1298	Not applicable	
1299	Strategy	40
1300	Coalition military casualties	32
1301	Battle	32
1302	Coalition military casualties	18
1303	Battle	34
1304	Battle	32
1305	Not applicable	
1306	Not applicable	
1307	Battle	26
1308	Not applicable	
1309	Battle	26
1310	Battle	26
1311	Strategy	27
1312	Battle	32
1312	Humanitarian issues (aid delivery)	32
1313	Not applicable	
1314	Not applicable	
1315	Not applicable	
1317	Not applicable	
29	Justification: Humanitarian (Blairite)	19
30	Justification: WMDs	40
1318	Not applicable	
70	Justification: WMDs	32
346	Justification: WMDs	33
453	Justification: Humanitarian (Blairite)	19
601	Not applicable	
628	Not applicable	
630	Not applicable	
755	Not applicable	
912	Not applicable	
1206	Not applicable	
1250	Justification: Humanitarian (Blairite)	24
1316	Battle	32
1223	Civilian casualties	18
1320	Not applicable	
1321	Coalition military casualties	25
1322	Coalition military casualties	32
1323	Coalition military casualties	25
1324	Not applicable	
1327	Strategy	40
1329	Not applicable	
1330	Not applicable	
1331	Justification: War on Terror	33
1331	Civilian casualties	40
1332	Not applicable	
1333	Not applicable	
1334	Strategy	40
1335	Battle	40
1336	Battle	40
1337	Coalition military casualties	25
1338	Battle	40
1339	Justification: WMDs	40
1340	Battle	25
