Subject (What)	Main Category	Sub Category
213	Casualties	US military casualties: personalization/obituary
214	Casualties	US military casualties: statistical information only
215	Casualties	US military casualties: family reaction supportive of war
216	Casualties	US military casualties: family reaction critical of war
217	Casualties	Iraqi military casualties, no attribution of responsibility
218	Casualties	Iraqi military casualties, responsibility of coalition
219	Casualties	Iraqi military casualties, responsibility of Iraqi military
220	Casualties	Iraqi military casualties, responsibility of non-regular forces
221	Casualties	Iraqi military casualties: personalization/obituary
222	Casualties	Iraqi military casualties: statistical information only
223	Casualties	Iraqi military casualties: family reaction supportive of war
224	Casualties	Iraqi military casualties: family reaction critical of war
225	Casualties	Civilian casualties, no attribution of responsibility
226	Casualties	Civilian casualties, responsibility of coalition
227	Casualties	Civilian casualties, responsibility of Iraqi military
228	Casualties	Civilian casualties, responsibility of non-regular forces
229	Casualties	Civilian casualties: accidental
230	Casualties	Other casualties: non-Iraqi, international
231	Casualties	Casualties: Coalition claims/ estimates/ rebuttal
232	Casualties	Casualties: Iraqi claims/ estimates/ rebuttal
233	Casualties	Friendly fire/ blue on blue
234	Casualties	Casualties: other/general
240	Protest	Antiwar movement as an issue: UK
241	Protest	Antiwar activity: within legislature: UK
242	Protest	Antiwar activity: within executive: UK
243	Protest	Antiwar activity: peaceful demonstration: UK
244	Protest	Antiwar activity: violent demonstration: UK
245	Protest	Antiwar activity: individual demonstration: UK
246	Protest	Antiwar activity: voluntary human shields: UK
247	Protest	Antiwar activity: in UK military
248	Protest	Police tactics vis-à-vis antiwar movement: UK
249	Protest	Counter protests: UK
250	Protest	Balance between antiwar and counter protests: UK
251	Protest	Antiwar movement as an issue: US
252	Protest	Antiwar activity: within legislature: US
253	Protest	Antiwar activity: within executive: US
254	Protest	Antiwar activity: peaceful demonstration: US
255	Protest	Antiwar activity: violent demonstration: US
256	Protest	Antiwar activity: individual demonstration: US
257	Protest	Antiwar activity: voluntary human shields: US
258	Protest	Antiwar activity: in US military
259	Protest	Police tactics vis-à-vis antiwar movement: US
260	Protest	Counter protests: US
261	Protest	Balance between antiwar and counter protests: US
262	Protest	Antiwar protest in Europe
263	Protest	Antiwar protest in Iraq
264	Protest	Antiwar protest in other Arab or Muslim countries
265	Protest	Antiwar protest: other
266	Protest	Pro-war rally/demonstration
267	Protest	Protests: other/general
270	Diplomacy	Summit of world leaders
271	Diplomacy	Peace initiative: war seen as failure of negotiations/diplomacy
272	Diplomacy	Peace initiative: peaceful settlement with Iraq impossible
273	Diplomacy	Impact on UK/Europe relations
274	Diplomacy	Impact on US/ Europe relations
275	Diplomacy	Impact on US/ UK relations
276	Diplomacy	Tensions within coalition
277	Diplomacy	International Relations general
278	Diplomacy	UK foreign policy - Europe
279	Diplomacy	UK foreign policy - Middle East
280	Diplomacy	UK foreign policy - Other
281	Diplomacy	US foreign policy - Europe
282	Diplomacy	US foreign policy - Middle East
283	Diplomacy	US foreign policy - Other
284	Diplomacy	EU skepticism/ opposition to military intervention
285	Diplomacy	Middle East: Israel/Palestine tension
286	Diplomacy	World Security
287	Diplomacy	Regional political stability
288	Diplomacy	International law
289	Diplomacy	Iraq territorial integrity
290	Diplomacy	International support for military action
291	Diplomacy	International disagreements about military action
292	Diplomacy	Diplomacy: other/general
300	Public opinion	Public opinion: UK
301	Public opinion	Public opinion: US
302	Public opinion	Public opinion: international
303	Public opinion	'Islamophobia'
304	Public opinion	Public opinion: other/general
310	Religion	Religion and the war: Islam vs. Christianity as issue
311	Religion	Religion and the war: Islam not the enemy, religiosity downplayed
312	Religion	Religion and the war: other/general
320	Reconstruction/Future	Cost of reconstruction
321	Reconstruction/Future	Strategy for reconstruction general
322	Reconstruction/Future	Role of businesses/ commercial operation
323	Reconstruction/Future	Coalition's length of stay in Iraq
324	Reconstruction/Future	Representative democracy in Iraq/ post-war governance
325	Reconstruction/Future	UN role in reconstruction
326	Reconstruction/Future	Peace (the challenge)
327	Reconstruction/Future	Iraqi exiles' role in reconstruction
328	Reconstruction/Future	Future developments of operations
329	Reconstruction/Future	Future conflicts
330	Reconstruction/Future	Reconstruction/future: other/general
340	Law and (dis)order	Restoration of law and order: coalition effective
341	Law and (dis)order	Restoration of law and order: coalition ineffective
342	Law and (dis)order	Restoration of law and order: coalition attempts
343	Law and (dis)order	Restoration of law and order: Iraqi police effective
344	Law and (dis)order	Restoration of law and order: Iraqi police ineffective
345	Law and (dis)order	Ethnic violence
346	Law and (dis)order	Looting
347	Law and (dis)order	Civil unrest/ disorder
348	Law and (dis)order	Law and (dis)order: other/general
350	Domestic	Debate in Parliament/ domestic policy matters
351	Domestic	UK domestic politics
352	Domestic	Debate in Congress/ Senate
353	Domestic	US domestic politics
354	Domestic	Cost of war
355	Domestic	Domestic: other/general
356	Domestic	Support for coalition troops (not media/families of casualties)
357	Domestic	Support for Iraqi troops
360	Blair	Blair: focus on
370	Bush	Bush: focus on
380	WMD	WMD: speculation/ will be found
381	WMD	WMD: evidence found/ positive developments
382	WMD	WMD: not found yet
383	WMD	WMD: not likely to find/ negative developments
384	WMD	Threat of chemical/ biological warfare in Iraq: assumed
385	WMD	Threat of chemical/ biological warfare in Iraq: questioned
386	WMD	WMDs: other/general
390	Terrorism	Terrorism: Iraq's links to Al Qaeda
391	Terrorism	Terrorism: No evidence of links to Al Qaeda
392	Terrorism	War on Terror: war will prevent future attacks (inc on US/UK)
393	Terrorism	War on Terror: war will encourage future attacks (inc on US/UK)
394	Terrorism	War on Terror: general/other
395	Terrorism	Terrorism: in other Middle East country
396	Terrorism	Terrorism: Other/general
400	Historical	Brutality of regime/ past atrocities
401	Historical	Demonisation of Saddam
402	Historical	Sanctions as humanitarian disaster: West to blame
403	Historical	Sanctions/ Oil for Food effectiveness hampered by Saddam
404	Historical	Western involvement in supplying WMD materials
405	Historical	Comparison/reference to 1991 Gulf war 
406	Historical	Previous uprisings by Iraqi people
407	Historical	Comparison to past conflict (Vietnam/ WW2/Afghanistan)
408	Historical	9/11 reference
409	Historical	Iraqi support for Palestinians
410	Historical	Western/ US support for Israel
411	Historical	Historical: other/general
420	Family Life	Families of UK soldiers
421	Family Life	Families of US soldiers
422	Family Life	Families of Iraqi soldiers
423	Family Life	Soldiers' Families: Other/general
430	Saddam	Death of Saddam/ speculation on whereabouts
431	Saddam	Destruction/ defacing/ mocking of image/statue
432	Saddam	Celebration of image
433	Saddam	Saddam's family/ fleeing the country
434	Saddam	Saddam's millions/ decadence
435	Saddam	Saddam: other/general/focus
440	Humanitarian	Success of/funds for coalition/UN aid delivery to Iraqi people
441	Humanitarian	Failure of/lack of funds for coalition/UN aid delivery to Iraqi people
442	Humanitarian	Coalition/UN attempts to deliver aid 
443	Humanitarian	Non-coalition/NGO aid delivery to Iraqi people
444	Humanitarian	Hospitals: shortage of medicine supplies, treatment
445	Humanitarian	Hospitals: adequate medicine supplies, treatment
446	Humanitarian	Water/food shortage
447	Humanitarian	Water/food supplies adequate
448	Humanitarian	Humanitarian consequences of war: general
449	Humanitarian	Humanitarian consequences of war: positive
450	Humanitarian	Humanitarian consequences of war: negative
451	Humanitarian	Refugees
452	Humanitarian	Geneva Convention
453	Humanitarian	Humanitarian: other/general
460	Iraqi People	Celebration in Iraq (pro-coalition)
461	Iraqi People	Hostility/ civil unrest in Iraq (anti-coalition)
462	Iraqi People	Loyalty to Saddam portrayed as genuine
463	Iraqi People	Loyalty to Saddam portrayed as not genuine / fearful
464	Iraqi People	Wariness toward coalition/ feelings of betrayal
465	Iraqi People	Welcoming to coalition/ troops
466	Iraqi People	Human interest: Iraqi civilian profile/ daily life
467	Iraqi People	Hostility/ civil unrest/ uprising in Iraq (not anti-coalition)
468	Iraqi People	Co-operation with Coalition
469	Iraqi People	Iraqi people: other/general
480	Other	Environmental disaster
483	Other	Reaction to war in other neighboring/ Mid East country (not public opinion)
484	Other	Reaction to war in other locale
485	Other	Human interest: other
486	Other	Price of oil
487	Other	UK stock market
488	Other	US stock market
489	Other	Question/comment by interlocutor (for press briefings only)
490	Other	Own statement (for press briefings only)
491	Other	Statement by other (for press briefings only)
999	Other	Other: no appropriate code
