.	Main Category	Sub Category
116	Media	Other world reporter/media outlet as subject
117	Media	Internet
118	Media	Media casualties
119	Media	Media casualties: home footage/ mug shot/ still
120	Media	Media: other
130	POW	US POWs: close-up on individual
131	POW	US POWs: shown as a group
132	POW	UK POWs: close-up on individual
133	POW	UK POWs: shown as a group
134	POW	Iraqi POWs: close-up on individual
135	POW	Iraqi POWs: shown as a group
136	POW	POWs: other
137	POW	POW/MIA: home footage/mug shot
138	POW	Rescue of POWs
140	Casualties	Civilian casualties: bodies faces not visible (coffins, body bags)
141	Casualties	Civilian casualties: bodies, faces shown
142	Casualties	Civilian casualties: Body, isolation on single individual, face shown
143	Casualties	Civilian casualties: Wounded, faces not shown
144	Casualties	Civilian casualties: Wounded, faces shown
145	Casualties	Civilian: Wounded, isolation on single individual, face shown
146	Casualties	Civilian: Person wounded or killed on camera, face not shown
147	Casualties	Civilian: Person wounded or killed on camera, face shown
148	Casualties	Civilian casualties: home footage/ mug shot/ still
149	Casualties	Iraqi troop casualties: bodies faces not visible (coffins, body bags)
150	Casualties	Iraqi troop casualties: bodies, faces shown
151	Casualties	Iraqi troop casualties: Body, isolation on single individual, face shown
152	Casualties	Iraqi troop casualties: Wounded, faces not shown
153	Casualties	Iraqi troop casualties: Wounded, faces shown
154	Casualties	Iraqi troop: Wounded, isolation on single individual, face shown
155	Casualties	Iraqi troop: Person wounded or killed on camera, face not shown
158	Casualties	UK casualties: bodies faces not visible (coffins, body bags)
159	Casualties	UK casualties: bodies, faces shown
160	Casualties	UK casualties: Body, isolation on single individual, face shown
161	Casualties	UK casualties: Wounded, faces not shown
162	Casualties	UK casualties: Wounded, faces shown
163	Casualties	UK: Wounded, isolation on single individual, face shown
164	Casualties	UK: Person wounded or killed on camera, face not shown
165	Casualties	UK: Person wounded or killed on camera, face shown
166	Casualties	UK casualties: home footage/ mug shot/ still
167	Casualties	US/other coalition casualties: bodies faces not visible (coffins, body bags)
168	Casualties	US/other casualties: bodies, faces shown
169	Casualties	US/other casualties: Body, isolation on single individual, face shown
170	Casualties	US/other casualties: Wounded, faces not shown
171	Casualties	US/other casualties: Wounded, faces shown
172	Casualties	US/other: Wounded, isolation on single individual, face shown
173	Casualties	US/other: Person wounded or killed on camera, face not shown
174	Casualties	US other: Person wounded or killed on camera, face shown
175	Casualties	US casualties: home footage/ mug shot/ still
176	Casualties	Mass graves/ desiccated remains
177	Casualties	Grieving family/ hysteria, Iraq
178	Casualties	Grieving family/ muted emotional response, Iraq
179	Casualties	Grieving family/ hysteria, coalition
180	Casualties	Grieving family/ muted emotional response, coalition
181	Casualties	Hospital scenes
182	Casualties	Casualties: other
200	Protest	Anti-war protest in UK
201	Protest	Anti-war protest in US
202	Protest	Anti-war protest in Arab or Muslim countries
203	Protest	Anti-war protest in other locale
204	Protest	Voluntary human shield 
205	Protest	Protest: other 
230	Diplomacy	Summit/meeting of world leaders
231	Diplomacy	UN meeting/ spokesman
232	Diplomacy	Diplomacy: other
240	Opinion/Graphics	Opinion polls
241	Opinion/Graphics	Maps (media initiated, not military/ govt)
242	Opinion/Graphics	Other graphics
250	Religion	Iraqi religious leaders
251	Religion	UK religious leaders - all faiths
252	Religion	US religious leaders
253	Religion	Other religious leaders
254	Religion	Ceremonies 
255	Religion	Religion: other 
260	Reconstruction	Meeting of potential Iraqi leaders/ government
261	Reconstruction	Repair to infrastructure
262	Reconstruction	Restoration of law and order
263	Reconstruction	Reconstruction: other
270	Looting	Looting
271	Looting	Crowd scenes/ social disorder (in Iraq)
278	Domestic UK	UK Press conference
279	Domestic US	US Press conference
280	Domestic UK	Parliament debate
281	Domestic UK	Other UK Labour politician
282	Domestic UK	Other UK opposition politician
283	Domestic UK	Other UK interest group (not anti-war protester)
284	Domestic US	Debate in Congress/Senate
285	Domestic US	Other US Republican politician
286	Domestic US	Other US Democrat/opposition politician
287	Domestic US	Other US interest group (not anti-war protester)
288	Domestic Iraq	Other Iraqi leadership
289	Domestic Iraq	Other Iraqi opposition leader
290	Blair	BLAIR as main subject
300	Bush	BUSH
310	WMD	Soldiers searching/possible finds/evidence
311	WMD	Soldiers searching/ evidence questionable/ frustration
312	WMD	WMD: other
320	Terrorism	Al Qaeda suspects/evidence of linkage
321	Terrorism	Terrorism: other
340	Family Life	UK soldier's family (not grieving/ with casualties)
341	Family Life	US soldier's family
342	Family Life	Iraqi soldier's family
343	Family Life	Family life: other
350	Saddam	SADDAM (profile)
351	Saddam	Footage of address to Iraqi people
352	Saddam	Possible sighting/question of authenticity/ use of doubles
353	Saddam	Destruction/ mocking of image/statue
354	Saddam	Image of Saddam celebrated
355	Saddam	Saddam's riches/ palaces
356	Saddam	Saddam's family
360	Humanitarian	Aid reaching people
361	Humanitarian	Aid not getting through/unable to deliver
362	Humanitarian	Scarcity of food/water/electricity
363	Humanitarian	Refugees, in crowds
364	Humanitarian	Refugees, tight shots
365	Humanitarian	Humanitarian: other
370	Iraqi People	Jubilant scenes/crowds waving to troops
371	Iraqi People	Hostile/ indifferent crowds
372	Iraqi People	Daily life of Iraqi civilians
400	Other	Other Middle Eastern country/ leader
401	Other	Photo/video montage
402	Other	Celebrities
403	Other	Cartoon
999	Other	Other/ no appropriate code
