Subject (Whom)	Label
711	Other Islamic Religious leader (not Iraq)
720	Arch Bishop of Canterbury
721	Pope John Paul II
722	Other Non-Islamic Religious leader (not Iraq)
730	UK Anti-war protester
731	UK Anti-war spokesperson
732	UK Voluntary human shield
733	US Anti-war protester
734	US Anti-war spokesperson
735	US Voluntary human shield
736	Coalition Anti-war protester
737	Coalition Anti-war spokesperson
738	Voluntary human shield Coalition
739	Non-Coalition Anti-war protester
740	Non-Coalition Anti-war spokesperson
741	Voluntary human shield Non-Coalition
750	UK Pro-war protester
751	UK Pro-war spokesperson
752	US Pro-war protester
753	US Pro-war spokesperson
760	Refugee interest group
761	Humanitarian pressure group
762	Geneva Convention
763	Aid/NGO/ Red Cross worker
764	NGO spokesperson
765	Medical worker in Iraq
766	Other pressure group
770	Expert linked to Academic organisation
771	Expert: Iraqi
772	Analyst: retired military (paid advisor)
773	Think tank
774	Other expert/ unnamed experts/ analysts
780	Kofi Annan
781	Hans Blix  
782	Iraq Survey Group/ weapons inspector
783	The UN/ UN representative
784	UN document/resolution
790	Jose Maria Aznar: Spanish PM
791	Other coalition political
792	Israeli representative
793	Unspecified Coalition allies
800	EU representative/ organisation
801	Jaques Chirac/ French rep
802	Gerhard Schroeder/ German rep
803	Vladimir Putin/ Russian rep
804	Other world leaders
805	Turkish politician/ representative/ parliament
810	Gulf Co-operation Council/ Arab League
811	Syrian representative
812	Palestinian representative
813	Saudi representative
814	Iranian representative
815	Kuwaiti representative
816	Egyptian representative
817	Jordanian representative
818	Other Arab political representative
820	Al Qaeda/ Osama bin Laden
821	Other terrorist group
830	Vox pops: UK
831	UK soldier family member/friend
832	UK Opinion poll: media source
833	UK Opinion poll: other source
834	"The UK Public"
840	Vox pops: US
841	US soldier family member/friend
842	US opinion poll: media source
843	US opinion poll: other source
844	"The American People"
845	"The US Public"
846	Non UK/US/Iraq opinion poll: media source
847	Non UK/US/Iraq opinion poll: other source
848	"The International Public"
849	International vox pops
850	Iraqi civilian(s)
851	Iraqi soldier family member/friend
852	Iraq opinion poll: media source
853	Iraq opinion poll: other source
854	Ali Ismail Abbas
855	Iraqi civilian: non-interview/chanting
856	"The Iraqi People"
860	Richard Sambrook/ BBC spokes/executive
861	Steve Anderson/ ITV spokes/executive
862	Own reporter (as initiator of story) 
863	UK reporter from other media source
864	UK media (not specific)
865	UK unidentified media
866	UK TV (general)
867	BBC
868	UK newspaper
869	The Times
870	UK radio
871	Media personality
872	Specific journalist (named but not 'personality')
873	Embedded reporter
874	Interlocutor (NB. For use in press briefings)
880	US reporter from other media source
881	US media (not specific)
882	US unidentified media
883	US TV (general)
884	ABC
885	CBS
886	NBC
887	CNN
888	FOX
889	US newspaper
890	The New York Times
891	The Washington Post
892	US radio
900	Freedom TV/coalition controlled media
901	Iraqi State television/newspaper
902	Arab reporter from other media source
903	Al Jazeera
904	Abu Dhabi
905	Other Arab media (not specific reporter)
906	Other foreign reporter
907	International Media
908	International unidentified Media
909	Internet source
910	Other media source: non-specific/ unclear
920	TU representative anti-war
921	TU representative pro-war
922	Business representative anti-war
923	Business representative pro-war
924	Bill Clinton
925	Other: celebrities anti-war
926	Other: celebrities pro-war/not anti-war
927	Other: God
928	Other: Allah
929	Other: "The International Community"
998	Other: no clear attribution
999	Other: no applicable code
