ID	Writer's name/ accreditation (where applicable)	Brief subject description
700	Nicholas Watt, political correspondent	Britain intensifies propaganda campaign against France by revealing huge exports to Iraq, stretching UN rules
714	Timothy Garden, visiting professor at King's College London	Importance of supplies and lines of communication for soldiers making long journey to Baghdad
719	Simon Hoggart	On briefings by the cabinet and parliament debate; nothing very new.
726	Michael Gove, Television Sketch	On Blair's address, comparisons with Churchill, fate of soldiers now out of his hands
731	General Wesley Clark, Military Briefing	Writes about attack on Serbia in 1999, empathising with Tommy Franks, speculating on next moves.
734	Roland Watson in Washington and Michael Evans in London (considered too 'light')	On the different names given the operation by UK and US, and goes into past names given and problems with both methods of choosing.
742	Wilfred Owen	Poem printed with sketch of soldier in gas mask, also advertises exhibition at Imperial War Museum.
749	Magnus Linklater, Holyrood Sketch	First minister answer questions on war and children protesting in school time
433	Staff reporter/ no byline	Aziz meets journlaists t show he wasn't shot while trying to escape - his reported death hit oil prices in NY.
434	Staff reporter/ no byline	Manchester University security staff told to tear down Sun pro-war posters, though students allowed anti-war signs.
444	Staff reporter/ no byline	Short sent to New York to be kept out of way! Blair seen to cut her adrift.
447	Staff reporter/ no byline	Very deflating item on Bush waiting for war, praying, etc.
456	Andy McNab	On desert sandstorms and how they affect weapons as well as being unpleasant. 4 photos, one of troops in storm, one with helicopter.
467	Major General Patrick Cordingley	Desert Rat commander in last Gulf War, on how they'll be feeling and some tactics.
474	Quentin Letts	Prime Minister's question time being unnervingly quiet
475	Patrick Cockburn - visiting fellow at Inst for Strategic and Int. Studies, author of Saddam biograph	Feature on Saddam and how he might react to war, die a hero
482	Andrew Buncombe in Kuwait	US and UK forces expect thousands to surrender, millions of leaflets dropped, intelligence said surrenders and defections of senior figures started
483	Paul Kelbie, Scotland correspondent	Worry and anticipation for families and personnel at RAF bases
487	John Nichol, former RAF navigator, author and military analyst for ITV news, famously captured in 91	On his doubts about going to war, importance of media, how the troops will be feeling
491	Sameer Yacoub in Baghdad	Iraqi politicians vow to sacrifice their lives for Saddam
493	Stephen Castle in Brussels	Too off-subject - bugs found in rooms used by six countries.
498	Simon Carr	Cook's arguments not really answered in the debate, Blair continues with groundless assertions
291	Quentin Letts	commons sketch type item, on MPs reacting to Blair's speech
297	Staff reporter/ no byline	Oscars ceremony to go ahead but with extra security.
763	Jill Sherman and Angus Macleod	On fire dispute, not really relevant, Prescott wants legislation to impose pay deal.
77	James Doran	Talks to Cajuns in US about boycott of all things French - too off the subject.
88	Auslan Cramb	Scottish health minister regrets backing war
102	Staff reporter/ no byline	Captain Julie MacDonald misses 'tablet' (scottish food?) in Kuwait.
107	Staff reporter/ no byline	Ahmed Chalabi to fly to Washington for talks on Iraq's future
108	Staff reporter/ no byline	Armed forces couple marry in Kuwait.
114	Staff reporter/ no byline	Kurds commemorate day of Halabja attack.
115	Staff reporter/ no byline	Small picture of missile head with message for Saddam 'Enjoy'. Very small amount of text.
118	Staff reporter/ no byline	Paras hold church service in Kuwait
119	Staff reporter/ no byline	Identical twins in the Navy, ready for war.
37	Staff reporter/ no byline	Hi tech set for Centcom, glitzy makeover, technology.
141	Staff reporter/ no byline	British troops issued with morphine in case of injury. Rusting tanks from first Gulf War line road to Basra
146	Tim Luckhurst	This item only mentions Iraq in passing, instead it treats Cook's resignation as opportunity to look at his career.
151	Staff reporter/ no byline	Turkey may change mind about letting in US troops, but it's probably too late
157	Sir Peter de Billiere (UK commander in first Gulf War)	Saddam hopes for Stalingrad mark 2, analysis on his options and on coalition strategy.
188	Anne Perkins	Profile of Robin Cook, with 4 photos. Historical with only passing mention to Iraq.
189	Simon Hoggart	Commons sketch, no mention of war.
196	Sir Timothy Garden	On new technology and weapons (Moab, cluster bombs) and whether they'll help to win the war.
198	Clare Dyer	On Peter Goldsmith, attorney general, background and decision on war. More on his personal judgement, not arguments for war.
1033	Robin Cook	Britain's role as a bridge to Europe smashed this week. Better when Clinton was in.
505	Jason Bennetto, crime correspondent	Three Portuguese held after bomb found in flat, near Gatwick. No mention of Iraq.
509	Simon Hoggart	MPs start to praise soldiers..
510	Ian Black in Brussels	Considered too off-subject, mentions EU divisions on Iraq and suspicion of US but not really connected to war or diplomacy around war.
524	Oliver Burkeman in Washington	US has blocked initiatives in the past, since 1972, often on Israel and South Africa. Critical of US, context is blaming France for veto.
541	Wesley Clark	On Pentagon battles over the number of troops, with evaluation and graphic.
558	Ben Macintyre	On questions in parliament and paricularly on Clare Short's indecision
559	Daniel Finkelstein	Iain Duncan Smith asks four questions about Iraq, here summarised, mentions whether removing Saddam is explicit war aim.
572	Michael Smith and Neil Tweedie	Leaflets dropped telling Iraqis how to surrender and not to use WMDs.
573	Val Hunt, mother of youngest UK soldier in Iraq	Mother writes on her feelings about son going to war, about buying boots for him, etc. Not coded because not journalist.
579	Anton La Guardia	Britain draws up plans to reopen embassy in Baghdad (abandoned since 1990).
583	AP	Israelis told to start wearing gas masks and seal rooms.
587	Benedict Brogan	Short in war cabinet despite threat to resign, Blair effectively humiliated her, also lists other members
592	Marcus Warren in New York	Oliver North emerges as star of Fox News, embedded and highly jingoistic.
603	Staff reporter/ no byline	Trainee doctor, Iraqi exile says she's happy that war has started, says people are willing to be collateral damage to get rid of Saddam.
614	Nic Cecil	Prescott tells firemen not to strike during war - off-subject.
621	Staff reporter/ no byline	Ricin found at Gare de Lyon in Paris. Too off-subject to code fully, very short piece.
866	Staff reporter/ no byline	Factfile on the Sea Knight helicopter - last year entire fleet was grounded, due to be replaced.
883	Charles Arthur, Technology editor	On background of Sea Knight helicopter, past performance and what could have caused crash
884	Bill Neely of ITN	Descriptive piece on the helicopter crash, how the oil fires hampered visibility, first casulaty in war is the plan.
885	Christopher Bellamy, professor of military science at Cranford Uni	Consummate brutality precisely aimed. Air campaign starting with ground assault, preserving oil fields - economic and environmental gain. Photo*
886	Andrew Grice	Round up of week in parliament, Blair's sppech saving him from isolation from party, Cook's resignation, relations with Europe.
909	Sir Timothy Garden, visiting professor at King's College	System in military life for handling casualties, move to smaller forces, how many casualties can public take when war is controversial?
936	Major Charles Heyman, editor of Jane's World Armies	How soldiers cope with fear and bad conditions - training, comradeship, humour.
940	Patrick Barkham on RAF Argus in the Gulf	Floating hospitals receive first casualties of war, all Iraqis.
971	Staff reporter/ no byline	Background on Sea Knight helicopter, stresses not shot down.
987	David Rennie (additional reporting by Jeffrey Gautreaux)	On difficulty of identifying body - in this case Saddam's - through DNA testing, need access to immediate family. Too off-subject.
1007	Staff reporter/ no byline	US troops now to move through Kuwait instead of Turkey, Al Qaeda terrorists killed in cruise missile attack in northern Iraq.
1014	David McLetchie, Scots Tory leader	On young people skipping school to demonstrate, attacks MSP Tommy Sheridan for encouraging them.
1032	Robin Cook	Don't be taken in by talk of smart bombs and collateral damage, included anti-war rationale, argues for weapons inspectors given more time.
311	John Curtice (Prof of politics at Strathclyde)	Report on YouGov internet poll, though also compares other polls form the past and present. Blair winning support but still behind on war without UN.
319	Rania Kashi	Undergraduate at Cambridge and daughter of Iraqi exiles, her email was read out by Blair in Feb. Here she argues for invasion.
320	Dr Salih Ibrahim	Consultant pathologist, family in Iraq, arguing against invasion, Iraqis should decide
332	Simon Hoggart	On Blair's speech to parliament, and the debate.
343	Andrew Clark	BA suspends flights, pilots' union concerns on flying out wounded soldiers; also mentions threat of attack for Britons in Middle East.
347	Staff reporter/ no byline	Outline of government motion on Iraq
362	Ben Webster	BA suspending flights to Kuwait and Israel.
365	Ben Macintyre	MPs act and speak with principles in Commons debate
374	Staff reporter/ no byline	Lists countries which have offered logistical support to coalition, and summarises what kind of help.
384	Frank Johnson	On theatrical nature of Blair's speech.
398	Martin Bentham in Northern Kuwait	Leaflets telling civilians to stay home and safe treatment of captured soldiers handed to UK soldiers (psy-ops)
399	Barbie Dutter in Sydney	On coalition of the willing, with emphasis on Australia, though public opinion against the war - mentions Opera House protest.
404	Anton La Guardia (Diplomatic editor)	France says it will assist if Saddam uses chemical weapons
405	Robin Gedye (Foreign affairs writer)	Foreign Office reveals plans for civilian rule of Iraq, invasion plan has four phases
416	Staff reporter/ no byline	People on last BA flight out of Kuwait.
422	Staff reporter/ no byline	Two bombs found in flat near Gatwick, also, 'fervent' Muslim jailed under terrorism act. No mention of Iraq but on same page
423	Staff reporter/ no byline	Home Office advice on what to do in case of terror attack, on website
1034	Robin Cook	Praises his parents' generation - his mother died this week, confidence helped him walk out of job.
1035	Major-Gen Peter Currie, defence expert	Selective warfare, leaving infrastructure, crunch point when reach Baghdad, worry of fierce resistance.Photos focusing on military hardware, one by US
1040	Staff reporter/ no byline	Opinion poll shows 20% increase in support for war, since deployment of troops - up to 56%.
1062	Maha Azzam, middle east expert at Royal Institute of International Affairs	Difficulties for Arab countries which despise Saddam but also oppose America's desire to dominate region.
1084	Christopher Bellamy, professor of military science at Cranford Uni	We are seeing strategic operation of unprecedented scale, summary of attacks so far - ends by saying be sceptical of everything you hear. (photo)
1131	Thomas Withington, "independent defence analyst based at King's College, London"	Withington explains and evaluates Coalition military strategy. Mostly optimistic about effectiveness of strategy and prospects for victory. Two photos
1164	Staff reporter/ no byline	Jordan 'kicks out' five Iraqi diplomats for spying.
1182	John Nichol (flyer paraded on Iraqi TV after being shot down in the Gulf War)	Mostly on his own ordeal and how this won't help Saddam's cause in propaganda terms.
1186	Sandy Gall, veteran reporter	Starts by mourning loss of Terry Lloyd, then goes into pros and cons of being with the army.
1191	Andy McNab	Why street to street fighting is a soldier's worst nightmare - British have advantage over US.
1216	Major General Patrick Cordingley	Friendly fire incidents are bad for morale - could undermine relations with US, need to be seen as part of war effort.
1218	Patrick Cockburn, visiting fellow at the Centre for Strategic and International Studies, Washington	Profile on the Republican Guard, their commitment to Saddam, though not well equipped.
1234	Christopher Bellamy, Cranfield University	Frustrating day for the Allies, strategy similar to German attack on Soviet Union, treat reports of Islamic fighters with caution, effect of live TV
1243	Paul Taylor	Review article of a concert for peace - quite evaluative in approach and obviously against the war
1276	General Wesley Clark	Resistance, accidents, Iraqi dodgy tactics - they won't diminish the strength of the campaign, effect of PoW pictures on public opinion.
1284	Simon Walker, photographer with US marines	Describes chaos of battle, how he had his best cup of tea aferwards!
1319	Paul McMullen/ Sunday Express correspondent with the British Harrier Force in Kuwait	Chaplains with Brit forces have been issued with Islamic prayer cards to give last rites to Muslims killed in battle.
1325	Toby Helm, chief political correspondent	Would definitely fit into 'collapse of regime' narrative. Boyce tells Blair coalition are making real progress, regime on 'auto-pilot'
1326	Philip Delves Broughton in Paris	French press muted by coalition's progress, also challenge that US is in Iraq for the oil (49% of French think so according to poll)
1328	Jonathan Petre, religion correspondent	On Iraq's religious connections, on Old Testament stories - not connected at all to war.
1353	Staff reporter/ no byline	An Iraqi is arrested in London suspected of planning a revenge strike. No explosives found.
1369	Lt Gen Cordy Simpson	We will suffer more casualties unless we secure lines of communication, Iraqis fighting harder than expected.
1379	Staff reporter/ no byline	Not full page so not coded in full - day five of battle.
1402	Sir Peter de la Billiere	War not going as easily as hoped, guerilla tactics, Iraqis not greeting troops as liberators, discusses change in justifications, too much caution
1413	John Nichol	On his experiences of being captured during the 1991 Gulf War.
1418	Christopher Bellamy, professor of military science at Cranfield University	Fast advance may have left supply lines exposed, compares to past battles from WW2, resistance has humiliated US. Photo of artillery outgoing fire.
1422	Paul Peachey	Red Cross says media shouldn't use close-ups of PoWs, US accused of double standards (Guantanamo).
1424	Simon Carr	Takes the mickey out of Clare Short for talking about double standards, Blair returns from Europe triumphant.
1428	Anne Penketh	Diplomatic row over Russian equipment and technicians in Iraq, British firm say fuses found (Wallop industries) must have been stolen from Kuwait.
1430	Editorial	Not coded due to light-hearted nature, critical of Hollywood stars at the Oscars, not so much cos anti-war as of the usual lengthy pomp involved.
1437	Oliver Burkeman in Washington	Harlan Ullman says shock and awe is being misrepresented by the Pentagon but it is going well - he would have waited for UN resolution.
1441	Amatzia Baram, professor of Middle Eastern history at University of Haifa, and fellow at Brookings	Expert on Iraqi Army profiles the elite forces, their various responsibilities and how they will fight, mostly background info (4 photos).
1447	Vikram Dodd, also Tim Butcher and Tom Newton Dunn contributed, pooled dispatches	Umm Qasr mostly under control but sporadic resistance from fighters loyal to Saddam, aid could still be days away.
1458	Simon Hoggart	Blair seemed optimistic and pessimistic at same time, on Short and Kennedy hardly raising a jeer.
1466	Staff reporter/ no byline	Pregnant wife praises her dead husband, killed in helicopter crash. Photo.
1467	Laura Peek	The Queen visits forces families in Plymouth, families feel boosted by her visit.
1471	General Wesley Clark	Resistance stronger than expected, not fighting conventionally, they will want to fight close and dirty, length of war depends on their will to fight
1476	Ben Macintyre	Short offers no embarrassment, MPs seem horibly nice to each other, war opponenets silenced.
1511	Val Hunt, mother of youngest soldier sent to Iraq	Article excluded as written by mother, on her fears for her son, becoming almost a recluse to avoid others talking about war.
1559	Andy McNab, SAS Gulf War hero	US military machine most sophisticated in world, but they are not superior thinkers - would definitely fit code for 'distinction between UK and US'
1598	Various military experts - no reporter comments	Mixed views on military strategy, concerns include deployment of troops, stretched lines, speed, rules of engagement
1599	Staff reporter/ no byline	map on battle, not coded as only quarter of page.
1601	Christopher Bellamy	Uprising in Basra is unlikely to be repeated in Baghdad, not enough troops to effectively circle Baghdad, Iraqis could use urban warfare
1607	Staff reporter/ no byline	Background on Challenger II tank, technology though struggled in desert conditions
1612	John Davidson, emergency offier for Christian Aid	How a collapse in water supply can lead to disease, vulnerable suffer the most, geology of Basra and heat make this particularly serious.
1619	Simon Carr	On Blair's soundbites, deflating towards his reasoning for war and sincerity.
1628	Andrew Norfolk	UK casualty story, obituary style, would be 'somewhat pro UK' on first combat death Steven Roberts.
1634	Chris Ayres from al-Diwaniyah	Americans take on 'rag-tag' fighters in crude ambush, tactics seem suicidal, morale unaffected.
1635	Hew Strachan, Professor of history of war, Oxford (would be excluded as expert anyway)	History of guerrilla warfare, Che Guevara, how they need places to hide, Mao, Stalin, over-reaction by coalition could drive people closer together.
1642	Ben Macintyre	Blair seems a changed man to last week, full of faith.
1665	Stephen Bates	On background to divide between Shia and Sunni Muslims.
1682	Ben Rooney, defence staff	Concenrs raised about the size of Franks' force, but this masks differences in technology, new strategy - mixed tone.
1687	Michael Paterson	Former SAS cleric describes Saddam's regime as a cancer, Rev Morrison uses strong language on Today programme.
1693	Frank Johnson	Sketch on Blair's press conference and in parliament, impressed by Galloway.
1708	David Wooding	State schools still waiting for government advice on terror attack, Blair promises to look into it.
1738	Andy McNab	Fighting war for hearts and minds, cannot simply bomb way to Baghdad, providing PoWs with food and sending them home is good way to prove this.
1755	General Sir Michael Rose	Coalition strategy working well, casualties low, though Saddam's propaganda is having success, no defections, concern of fighting in built-up areas
1766	Haitham Rashid Wihaib, former chief of protocol to Saddam	How Qusay is a pyschopath, more brutal than his father, enjoying murder, even shooting his own brother.
1768	Sir Peter de la Billiere	battle going well, 24 hour news demand does not help, but also contradictions from coalition, irregular fighters cause for concern.
1773	Patrick Cockburn, in Arbil, visiting fellow at Centre for Strategic and International Studies, Wash.	Teo deserters are interviewed with Peshmerga, tell of bad conditions and fear of Baath members.
1775	Christopher Bellamy	
















On general battle progress, resistance, lack of uprising, UK troops expertise on the ground, Iraqi deaths, etc.
1782	Peg Mackey and Mona Megalli (Reuters)	US forces prepare to st2132	Christopher Bellamy - professor of military science and doctrine at Cranfield University	US strategy: deployment of troops/sufficient numbers
tary planners.

ing people
, but also fear of Saddam.
2160	Staff reporter/ no byline	Graphic detailing the "Theatre of War" - run down on battle situation
2186	Wesley Clark/Supreme Alied Commander Europe 1997-2000; led Nato forces during Kosovo campaign	Analysis of ongoing situation - says its too early to tell who's winning but coalition still looking good
2198	Chibli Mallat / EU Jean Monnet Professor at St Joseph's University, Lebanon	Pro-war humanitarian justification (but still anti-Israel) + discussion of regional political stability and international relations.
2213	Oliver Poole	Threat of WMD attack as US advances towards Baghdad
2242	Staff reporter/ no byline	Editorial attacking fire fighters for going on strike during a war. Not as rabidly attacking as The Sun can be.
2249	Staff reporter/ no byline	Friendly fire result of technological glitches
2250	Staff reporter/ no byline	Radio DJ supports UK troops with Sun yellow ribbon
2253	Alex Salmond	Offers mixed-to-pessimistic prognosis on the military campaign (peaceful occupation in particular) and is critical of coalition lies.
2254	Zin Craig	Heavily pro-US (pro-Republican) and critical of Brits' lack of patriotism in wartime.
2264	Major-General Peter Currie / Defence expert, veteran of Ulster, Falklands and Bosnia	Analysis of military situation, critical of US-led 'war light' strategy and of the opinion that the war will last quite a bit longer than expected.
2269	Robin Cook	Cook criticises the war, particularly the US hawks, and says things aren't going well for the coalition on the ground.
2284	Martin Bell / Former BBC war correspondent	Pessimistic about ongoing situation and critical of the war, comparing it to Vietnam.
2290	Ken Joseph / US church pastor and former voluntary human shield	Joseph says he was wrong to oppose the war against Saddam's brutal regime
2295	David Clark / former Special Advisor to Robin Cook	Claims Blair's political future has been doomed by the war.
2313	Phil Sands / voluntary human shield in Baghdad	Sands' diary for March 23-28. No reporter's intro (just sub-heading), so have (not) coded as a commentary/analysis piece from an external source.
2318	Christopher Bellamy / Professor of military science and doctrine at Cranfield University	Analysis of US strategy, focusing on troop numbers and logistics/supplies.
2322	Staff reporter/ no byline	Jokes, anecdotes, rumours and amusing comments about the war, said to be overheard by correspondents.
2340	Staff reporters / no byline (but attributed to five reporters at end of piece)	Narrative on war on 'News' pages but designated 'Focus', spanning four pages like a lift-out (but, again, on news pages), so…
2341	Julian Thompson / retired major-general and visiting professor at King's College, London	Analysis of battle situation and evaluation of strategy - says things aren't going badly as many are suggesting
2345	Alex Renton / Oxfam International Media Officer	Argues military should leave aid delivery to humanitarian organisations
2391	Staff reporter/ no byline	Battle: coalition attack: effective
2400	Irwin Stelzer / "Top US Economist"	Argues increased war cost does not justify tax hike, says Gov should lower taxes and bow to private sector demands.
2412	Staff reporter/ no byline	Report that British troops are guarding booze after looting attempts
2416	David Blunkett / UK Home Secretary	Says UK must finish what it started in Iraq
2426	Staff reporter/ no byline	Report on death of Channel 4 newsman Gaby Rado
2459	Christopher Bellamy / Professor of military science and doctrine at Cranfield University	Allies' struggle to win Iraqi hearts and minds
2463	Paul Peachey and David Sharrock	UK Marine killed in ambush, Brit soldier saves lives of comrades
2470	Philip Thornton / Economics Correspondent	UK firms' role in reconstruction
2492	David Sharrock / in southern Kuwait (described at end as being of The Times)	Royal Marine dies i2540	Andrew Sparrow / Political Correspondent	MPs from Commons int. dev. Committee release report stressing need for UN to run postwar Iraq
qis executed them.
2547	Zahid Hussain in Islamabad	US forces hunt for rebels in Afghanistan after two US soldiers died in an ambush. All action in Afghanistan but on Iraq pages. No mention of Iraq.
2548	John Steele / Crime correspondent	Terrorism: other; UK domestic politics
2549	Adel Darwish / no accreditation	Saddam awards suicide bomber; Iraq vows to increase suicide attacks
2562	Staff reporter/ no byline	'US troops herded sheep and shepherds yesterday - on alert for Ba'sth Party fanatics.' Also has photo. Quite ridiculous!
2572	Staff reporter/ no byline	Saddam's henchmen will be sent to Guantanamo Bay, US claims they need not be treated under the Geneva Convention.
2576	Mark Bowness	Other celebrities back the Sun's campaign for the children of Iraq.
2577	Staff reporter/ no byline	Six year old girl flown to Britain to treat burns - injuries not caused by military action.
2593	Mo Mowlam	Long war could increase Arab feeling against the UK and US, need to change woolly approach and be tough to end war quickly.
2613	Quentin Letts	On Gerald Kaufman's poor dress sense, glossng over questions on cluster bombs with dig at Labour.
2622	Christopher Bellamy	No excuse for latest 'friendly fire' incident, need full enquiry. Journalists also killed. Reporters and aid workers risk their lives too.
2634	Simon Carr	On Hoon's reptile-like performance in the Commons, UK troops in Iraq won't be increased, reassurance on very little.
2659	Simon Hoggart	Hoon unflappable while early claims of a quick war are revised. Kilfoyle seeks assurance that Syria and Iran are not to be next.
2667	Ben Macintyre	Again comments on dress (Kaufman), otherwise gloomy answers at defence question time, jokes about a minister being fat!
2672	Gen Wesley Clark	Close contact with civilians means wary troops and vulnerability to terrorists. Suicide attacks make winning support of civilians very difficult.
2686	Staff reporter/ no byline	Short obituaries on UK soldiers, including some recollections sent in by people who knew them.
2707	Ben Rooney	US relax rules of engagement, broadening powers of arrest. British instructions remain secret.
2708	David Rennie in Washington	US Navy exhausting stocks of Tomahawks, asking urgently for more funding.
2713	Marcus Warren in New York	Peter Arnett fired by NBC after telling Iraqi TV that US war plan had failed. (photo)
2714	Michael Smith, Defence Correspondent	Plans for cuts in tanks made before the war may be rethought after problems with idea of lighter forces in Iraq.
2715	Frank Johnson	Hoon answers questions on the progress of the war, saying he never said it would be quick, also on how Lewis Moonie is much liked.
2731	Trevor Kavanagh	Bomb which killed US troops was not a suicide bomb, but an innocent taxi driver blown up with remote control.
2744	Staff reporter/ no byline	Iraqi who worked as body double for Uday held at airport.
2745	Staff reporter/ no byline	Army being swamped with presents for troops which can't be delivered.
2753	Andy McNab	On difficult decision faced by US troops at checkpoint. Includes graphic to illustrate what happened. He has sympathy with troops.
2762	James Lyons in Kuwait	Temperature in the Gulf set to soar to 41C, military officials say it won't hamper operations.
2783	David McKittrick, Ireland correspondent	Analysis on how different the situation in Northern Ireland was for the British, summary of tactics by both sides over the years. (photo).
2789	Charles Arthur, Technology editor	Massive amounts of fuel needed for tanks and Humvees, fuel mixture known as JP-8, historical lesson learnt from Rommel's defeat.
2795	Christopher Bellamy	How the war is starting to look like others that have gone before, tactics of siege and blockade, attrition, guerrilla attacks, policing, etc.
2796	Ian Burrell, media and culture correspondent	MoD warns journalists not to wear military fatigues, they recommend blue, though on the ground this is con2797	Nigel Morris, home affairs correspondent	Whilst on Iraq pages, no mention of war, on conviction of al Qa'ida 'plotters' in UK, of credit card fraud and funding terrorism.
2798	Nigel Morris, home affairs correspondent	Home Office hope to expel Abu Hamza under new citizenship rules - no mention of the war.
2806	Duncan Campbell, Los Angeles	Newsday journalists who went missing in Baghdad are safe in Jordan, released by Iraqi authorities.
2810	Boaz Ganor, director of counter-terrorism institute in Hertzelier, Israel	Suicide bombers want the military to see everyone as potential enemy. Need to thwart mission before it happens - intelligence.
2828	Ben Macintyre	Sketch written as if to Saddam by spy in British parliament; most of the discussion seems to be on transport, Blair doesn't make appearance
2837	Philip Webster and Melissa Kite	Downing Street emphasises a move from battle footing, with troops wearing berets, concern over US tactics, Straw warns of resistance.
2846	Gen Wesley Clark	Airpower is key to securing entry to Baghdad, lessons from Gulf and Kosovo need to be learnt - need ground war also.
2858	Sean O'Neill	On front page though doesn't seem to be connected to war - Al Qa'eda fund raisers jailed in UK. Noted because sometimes on Iraq pages.
2872	Jonathan Petre and Jonathan Wynne-Jones	Rowan Williams to attend inter-faith conference in Qatar, government anxious he does not use event to voice anti-war opinion.
2873	David Rennie in Washington	A British journalist working for Newsday is safe in Jordan after being released by Iraqi authorities
2877	David Orr in Tehran	Britain beefs up security at embassy in Iran after a truck laden with fuel crashed into the gateposts.
2892	Staff reporter/ no byline	Football fans at Stoke City will hold minute's silence for soldier.
2923	Andy McNab	War progress good for the coalition, there will always be blue-on-blue deaths, must not go wobbly. (XL Graphic also - battle map)
2947	Reuters	Al Jajeera froze operations in Iraq after the regime bans two of its reporters. No reason has been given by Iraq.
2949	Christopher Bellamy	Prelude started to the battle of Baghdad, Iraqis could still move back into the city, though air attack by coalition is devastating and frightening.
2952	Simon Carr	Blair faces easy questions in the Commons after a disappearance for a while, indicating things are not going well. Market bomb not questioned.
2966	Amatzia Baram, Professor of Middle East History, University of Haifa	Saddam gave Republican Guard death mission by placing them outside Baghdad, serving as buffer. Special guard will present more problems.
2982	Simon Hoggart	Blair faces easy questioning in the Commons. No Galloway appearance.
2988	Ben Macintyre	Blair confident on post-war Iraq, his approach is likened to the 'soft hat' approach of UK troops.
2995	Gen Wesley Clark	Battle for Baghdad expected to be tough, quite descriptive of US approach, threat of chemical weapons. Need to go in hard.
3003	General Ali Shukri, Senior Associate member at Middle East Centre at St Antony's College, Oxford	While past betrayal is important, real reason for Shia hostility is concern for holy sites at Najaf and Karbala.
3007	Daniel Finkelstein	Question Time briefing treated as 'sketch', on Blair's answers to Duncan Smith on post-war Iraq - score draw.
3009	Lord Robin Renwick, former ambassador to the United States	Nato, UN and EU won't be the same after this crisis. Future common defence policy cannot be fudged.
3030	Neil Tweedie, Qatar	SAS mission goes wrong after they are discovered - helicopters called in. Captured Land Rover shown on Al Jazeera.
