ID	Subject of photo	Photos of particular interest
656	200	Four photos here; one shows sit-in on road, one show policeman with bleeding head, two others show police either pinning someone to ground or leading them away - show aggressive side to protests.
670	232	Members of European Parliament display anti-war signs at meeting in Brussels, reading 'illegal war'. Could be coded as 'protest: other'.
710	203	Greek protester in close up with black tape over his mouth, outside US embassy in Athens
718	59	US marines burn classified materials before moving their camp in Kuwait. Headline'scorched earth' has bad connotations in war, but not enough in this context to be negative.
727	63	Bomb with personal message for Iraqi armed forces at RAF Fairfield, reads, 'your welcome', loaded onto B52 bomber.
732	62	This small story celebrates the B2 bomber, photo has wing span across whole page. "Baghdad's time has run out."
735	26	Photo has crown copyright, action shot of soldiers in jeep in the desert, with helicopter taking off behind.
747	200	Close up on protester with 'no war' written on forehead, eyes diverted, impression more of war paint than peaceful protest.
771	53	Blurred picture from heat as an F/A 18 Hornet takes off from warship Theodore Roosevelt
772	36	Tomahawk cruise missile fires from Bunker Hill warship.
796	200	Birds-eye view of teenage female protesters lying on the grass with anti-war signs, caption points out that support for war is growing.
798	999	Portrait of Iraqi exile woman, almost has quality of painting, very beautiful and composed.
804	78	Front cover of Shock and Awe book, which Pentagon adopted, with various weapons.
810	26	Photo spreads across two pages, showing US troops arriving in the desert, with the helicopter taking off behind, obscured by the sand
811	134	Full page colour photo of captured Iraqi soldier given water by US marines. Top left, there is a out-of-focus gun still pointing at him. Headline says 'Mighty and Merciful'.
816	182	Photo shows inspectors checking the crumpled helicopter which crashed, killind eight coalition soldiers. Heat haze means picture is blurred.
827	370	Most of page photo, smiling Iraqi woman hugs a US marine, with the headline 'Liberators'.
828	7	Explosion in Baghdad, with headline 'shocking and awful'.
833	59	Picture shows US marine hoisting Stars and Stripes in Umm Qasr, with caption starting; 'shame'.
835	144	Injured man is surrounded by three Iraqis, looking torwards camera and appealing for help from coalition troops.
840	134	Same photo as the Sun of Iraqi PoW being given water by US marines. Covers most of page.
841	182	Same photo as Sun, but in colour, Sea Knight helicopter crash site.
851	53	B52 bomber, wingspan stretches across two pages.
851	53	Bomber rises over a Ministry of Defence perimeter fence, with 'No War' slogan in graffiti.
862	134	Same photo, full page colour, of Iraqi PoW being given water by US marines
863	182	Same photo as others, wreckage of helicopter, 8 coalition soldiers killed.
873	134	Same photo of Iraqi PoW, here smaller and in black and white.
873	59	US 'Raider' hoists US flag in Umm Qasr.
877	288	Interior Minister al-Ahmad speaks at press conference waving AK-47, with portrait of Saddam behind.
880	182	Same photo of helicopter crash site.
888	202	Foreground shows police with helmets and batons charging at demonstrators in Cairo.
892	290	Photo of Blair seen before, interestinly framed, which much of the wall in the shot here, Blair looks towards camera, other people cut off, emphasising loneliness, his expression is also sombre.
894	364	Sudanese child from Iraq looks out of tent at Jordanian camp.
904	182	Long shot view of helicopter crash site, debris strewn across desert.
906	241	Graphic does include 5 photos, general battle, one of Iraqi prisoners, face blurred out.
907	39	US marines, one faces us, face covered by goggles and scarf, signalling hand gesture.
910	134	This is the same photo of the Iraqi PoW - the Guardian has chosen to blank out his face 'in accordance eith the Geneva Convention'
910	144	Also seen before, Iraqis signal for help for wounded
913	372	Small boy holds up a packet of cigarettes to pasing US soldiers (not in shot). He has classic desert urchin look but is not smiling, more uncomprehending look on his face. His suit-jacket reminiscent of 'Oliver' look.
917	202	A protester hurls himself at riot police at a Cairo mosque - similar to earlier photo but here we see more of the protesters.
919	200	Protesters with banner reading 'youth of today say no to war', girls at the front chanting.
929	59	US soldier takes down Iraqi flag and hoists US flag.
933	39	us 'Sreaming Eagles' relax in their foxholes in Kuwaiti desert, surrounded by trucks.
939	53	B52 leaves RAF Fairford, viewed through barbed wire. INTERESTINGLY this is same photo from before but the 'no war' message in grafitti is now out of the shot.
941	41	Actually shows 8 types of leaflet dropped by the US psy-ops. (images: EPA, AFP and AP)
942	182	Site of helicopter crash again.
952	202	Another Cairo photo, police have batons raised against protesters.
956	134	Same photo of Iraqi PoW, face not obscured. Those with UK soldiers (135) do have faces obscured.
963	31	US marines scramble for cover from Iraqi gunfire in early stages of push into southern Iraq.
964	172	I think this is first photo of injured US soldier I've seen, wounded by landmine, four colleagues surround him, no visible injury.
964	152	UK soldier tends an Iraqi soldier injured in the Faw peninsula. Face obscured.
970	182	Helicopter crash site.
972	134	Same photo of Iraqi PoW - face not obscured.
989	59	Soldier hoisting US flag.
994	401	Picture shows photo of family with letter, small boy on his mother's lap, telling UK casualty 'daddy I love you loads..miss you always..'
1000	63	Shows truck with camouflaged Iraqi missile driven away from Baghdad.
1004	34	Shows oil well ablaze - no separate code for this. Caption 'Flames of hate'
1004	149	Unclear; picture shows person wrapped in blanket with only hands showing. Caption: 'Lost cause, Iraqi victim wrapped in his own blanket'. Not sure if soldier or civilian.
1017	26	Oil well blazes in background, dense black smoke obscures the sky, foreground shows UK soldiers in jeep with machine guns.
1025	354	An Iraqi holds up a picture of Saddam amongst rubble in Baghdad.
1025	145	Injured child in Iraqi hospital, his eyes are closed and his hand reaches out, out of focus in the foreground.
1030	182	Notes to dead soldiers, one form the family and another in memory of Mark Stratford 'who gave his life for this senseless war'. Also quoted in text.
1031	149	Photo shows Iraqi troops in a trench with their heads missing, a white flag beside them. Two soldiers look into the hole.
1031	145	Toddler with burns on face and arm in a sling, as her mother cries.
1037	200	Many banners shown at demo emphasising support for movement.
1045	26	UK troops in desert on jeep, with oil fire in background - this was used in another paper and is an MoD photo though no credit here.
1048	182	Tribute to dead UK soldier, who died in 'senseless war'. Much is made of this note in this article.
1064	200	Coded as anti-war protest but pictures show photos of left leaders the Mail says are 'secretly' behind the movement.
1072	145	Baby with burnt face crying in the arms of his mother. (repeated)
1079	149	Two Iraqi soldiers in trench with heads missing, as two UK soldiers look over them.
1087	200	Photo shows genteel side to protesting - two older people with 'grannies for peace' sign sitting by a hedge in the sunshine. Mounted police are seen in the distance.
1093	26	Photo shows US soldiers patrolling by burning oil well, one soldier is shown in close up, in left of shot, other is in a jeep, as smoke billows behind him. Strange quality to photo, reminiscent of video game.
1098	145	Close-up on Iraqi boy injured, head in bandage and tear rolling down his cheek.
1099	140	Body of Ahmad Walid, first civilian casualty of the war, crushed beneath rubble with his bloody head and shoulder showing.
1104	26	British commandos on the Al Faw peninsula, helicopter in background.
1111	200	Three anti-war protesters as focus, all pretty, female and young. Aims go beyond stopping war.
1113	149	Two iraqis in a trench with their heads missing as two UK soldiers look on, caption points out the white flag that 'appeared to have been waved too late'.
1115	54	A US Humvee passes a burnt Iraqi armoured personnel carrier near Basra.
1115	149	Often repeated photo of Iraqi body under a blanket with hands in foreground.
1121	145	Large close-up of an injured Iraqi child looking into the camera and crying, under the heading: "Shock and Awe: the human cost".
1123	166	Photo itself unremarkable but same photo of Ian Seymour as in other papers. Seymour unmentioned in story, but photo chosen nonetheless.
1124	149	Close-up of dead Iraqi, wrapped in blanket, hands exposed but face not shown. Same photo has appeared in at least one other paper.
1125	62	Small photo of a mobile missile launcher with a caption that notes that the Coalition is seeking to neutralise Scud batteries. Not explicitly labelled a Scud unit. Looks like file/library photo but not attributed as such.
1128	200	Close up of 3 teenage female protestors holding placards and blowing whistles. Just under it is another close-up photo, of a single teenage female protestor. This is the only pictorial representation of protestors for the story and the page.
1129	59	Photo of Turkish troops driving past a Kurdish boy is unremarkable, but the caption implies that one reason for US forces to "secure oilfields" is that this will prevent an ethnic bloodbath.
1132	241	Map of targets and progress is littered with sites assumed to hold chemical, biological and nuclear facilities. Their existence is not attributed to the Coalition but is assumed by the paper itself.
1133	59	Marine hoisting  American flag at Umm Qsar.
1135	200	Schoolgirls (early teens, if that) yelling/chanting at demonstration beside placard: "No blood 4 oil".
1138	201	Small but powerful photo of desperate protestor, face to the ground, looking into the camera, almost literally under the heel of police.
1140	7	Picture from CNN, emphasis on the media coverage rather than the bombing depicted.
1142	202	Palestinian protestors marching with Iraqi flags and picture of Saddam.
1145	39	Could be battle desert; US soldiers in foreground lean against each other or sit around, helicopter taking off in background.
1149	59	Kurdish women fighters in a Toyota truck, smiling and chatting. Caption says no Iraqis 'are ready to celebrate  while the threat of Sadam's power remains more real than the promise of liberation'.
1151	200	Attractive girl in anti-war protest. Caption says the Stop the War coalition said there were 400,000 protesters, yet the headline next to it says 100,000 - in the actualy story it states that the police estimate is 'almost certainly too low'.
1153	34	Soldiers ariving in the Al Faw peninsula, patrolling with helipcopter taking off in the background.
315	200	No War banner, with silhoutte of protester behind - 200 protesters barracked MPs outside the Commons after debate.
387	300	Extreme close-up of Bush, looking serious, caption reads that a majority rates his 'handling of the crisis as either poor or very poor'.
1165	34	US marine crouches by a wall in Umm Qasr, message by port officials for foreign visitors reads 'welcome to our dearest guests'.
1165	24	Powerful blast shown as Royal Marine launches a missile at an Iraqi position in the desert.
1168	33	Photo shows Royal Marines taking up position in a civil building in Al Faw, caption says under fire so used the 'mix of firing' code. Cinematic look to photo as one sodlier crouches to look around the pillar and second is on the floor aiming rifle.
1168	134	Four UK soldiers stand aorund an Iraqi who we see form behind with his hands on his head, kneeling on the floor. Accoridng to caption he is giving details of strongholds in Al Faw.
1178	145	Particularly upsetting photo of boy with 'horrific burns', his eyes and mouth open, which at first look make sit difficult to determine whether he is dead or alive.
1178	130	"Edgar from Texas" PoW shown on Iraqi TV, dried blood on his face, he is looking up and left to someone whose hand we can see on his shoulder.
1157	130	All photos are of US PoWs 'paraded' on Iraqi TV, stills from TV but would be interesting to see how similar the chosen still are in different newspapers. Emphasis here on their being 'terrified'.
1158	91	Two mug shots show the captured RAF pilots from the Gulf War. The memory of their image is used here perhaps to emphasise abuse of the PoWs.
1158	167	A medical orderly grins as he shows the bodies of US soldiers, the caption reads 'he even drags one into a better position for the TV cameras. The graininess of the images means that their faces cannot be seen.
1179	300	Small photo of Bush not particularly noticeable, but strange as the Mirror has the caption 'Wink: Mr Bush last night' in what seems like an attempt to criticise him, having him winking in a story about US PoWs and casualties.
1179	130	Five photos of the US pows being interviewed - the credit is to Al Jazeera though they are first broadcast on Iraqi TV.
1179	167	Final photo in group of six is of the 'gloating' Iraqi showing off the bodies of the US dead.
1187	59	Photo of captured US 'Muslim' soldier who attacked his own unit with grenades and rifle fire.
1192	145	Ths photo is the main focus of this story. An elderly man carries a badly wounded girl, her eyes closed and bloodied hand and face. The large caption (with headline 'in your name') is clearly anti-US.
1195	24	Royal Marine launches guided missile, we can see blurred missile and huge sparks. - Repeated elsewhere.
1195	33	Marines take cover in building in Al Faw, also used in the Sun.
1196	341	Ten year old US boy holds photo pf his father, killed in the helicopter crash. He salutes and looks directly at the camera. (could be 175)
1201	200	Main pictures show a girl dressed up as the grim reaper and marching scene with many banners, mostly 'Stop the War'.
1202	145	The premise to this story is that it shows images to 'explode the myths of war' so all have emotive content. Here, an old man is covered inblood, his face looking down and hands together.
1207	167	Caption actually reads 'a smirking Iraqi surveys his captives' though these are the bodies of dead US soldiers.
1208	134	This is on opposite page to the Al Jazeera shot of an American injured PoW. Here the caption starts 'touch of compassion' as 'an allied soldier tends to a wounded Iraqi prisoner' - explicitly juxtaposed for effect.
1212	24	Photo also in Mirror and Sun, Royal Marine launches missile, blurred missile with lots of sparks and fire behind.
1212	33	Marines take cover in Al Faw, simialr to those used before but this one is not so striking.
1212	134	We only see the PoW form behind with his hands on his head with two marines - another caption said this was an Iraqi giving information.
1219	372	Close-up on Iraqi man weeping with a boy in his arms, after an air raid.
1219	145	Injured boy in hospital, his eyes closed - interestingly this story is not an attack on the coalition, but on Saddam.
1224	130	The Independent decides to conceal the face of the US pow in accordance with Geneva Convention. As the photo is large, the pixelated squares over the head of the soldier, with different shadings, gives the impression of phasing or rubbing out the face.
1225	135	Most of the PoWs have their backs to us, one who is lying on the floor 'exhausted' has his eyes blacked out to protect his identity
1226	145	Both of these images have been used beofre - one of old man looking down in bloodied dress, second of young girl carried by man - here the bottom of the shot is shown, revealing other casualties.
1227	24	Same shot of Javelin missile being launched - here it says by US marines.
1228	10	Seen before - Close up on bayonet held by Iraqi soldier's hip as they search the Tigris for a coalition pilot. We see more of the background here,people searching the reeds.
1206	10	Photos to accompany story on lynch mob looking for downed pilot in Tigris - codes not to helpful - unusual in that Iraqi soldiers though we don't really see their faces.
1228	33	Oft-shown photo of UK marines in building taking cover, lighting an depth unusual.
1232	170	Grainy TV images from US tent grenade attack.
1237	290	Blair carries his son after church services in Wendover near Chequers.
1240	59	Photo of Kurdish fighters used earlier in the conflict - interesting to see repetition over time as well.
1242	202	Pakistanis burn US flag at march in Lahore.
1251	26	US soldiers in foreground, most of photo shows beautiful sky with sunset.
1251	57	Seen elsewhere, photo of soldier kicking in door at Najaf.
1252	145	Similar picture seen before, but different angle in this case. Old man lifts young crying girl towards other helpers.
1256	24	UK marines launch 'Milan wire-guided missile' - in every paper so far, missile in blur with sparks behind.
1259	148	First casualty mug shot of an Iraqi - he is a peshmerga fighter so not strictly a civilian, either way we rarely see them posthumously pictured.
1263	54	Photo used on the front of 'Tell Me Lies' Miller book. Boys in rubble, they are looking just to left of shot, as if they are tryin to understand someone talking to them.
1265	10	In all the papers, bayonet held by the hip of an Iraqi soldier, in the hunt for the downed pilot in the Tigris, we do not see above chest level.
1267	200	Close-up of protester in mask with tears.
1271	130	US Pows on Iraqi TV, though the credit is Al Jazeera, the caption mentions Iraqi TV, wounded soldier is in the larger photo.
1273	91	Shows three captured US soldiers from Kosovo conflict, 'paraded' on Serbian tv.
1281	32	US marines launch a mortar, position of soldiers looks almost staged, reminisicent of famous flag erecting photo from WW2.
1281	34	In all the papers - marines line up along sand berm taking cover as an air attack is called in.
1281	32	Another action shot of a Javelin rocket being launched, not the same as in earlier papers.
1291	364	Iraqi Kurd family leave town, Kormal, after being attacked with US cruise missiles. No real link to story, other than they are Kurds.
1293	145	Re3peated image of small girl being handed to other helpers by an older man, she is distressed and bloody. Caption points to claims by US that Iraqis had given up denied by Al Jazeera.
1296	288	Vice President Ramadan, at a press conference, pictured from above - 'after US reports of his death'
1301	130	Familiar photos of US pows, Al Jazeera framing but caption says originally on Iraqi TV
1307	130	Middle picture is slightly more gruesome than the usual ones, I think it is a live pow, 'Edgar', though it is difficult to tell as he is lying down, caption mentions an Iraqi playing with a corpse but I don't think this is shown here.
1308	91	RAF pilots from 1991 Gulf War shown - short item on how to survive being captured.
1309	135	About a dozen Iraqi PoWs under escort of US marines. Caption says they took on 'powerful American tanks' 'armed only with machine guns'. Faces not obscured.
1312	62	Caption: 'British tanks near Basra, where groups of zealots seem determined to fight to the death'
1312	372	'Residents seeking safety are driven out of the city where diehards are hiding among civilians' - All the captions in this story frame the photos against the coalition's enemy.
1312	145	Picture of injured girl used in many papers, here she is just 'injured in the fighting' - no responsibility attributed to coalition.
1315	10	Photos of Iraqi troops firing into reeds and searching for downed coalition pilot - in most papers.
1316	59	Shot of marching Kurdish soldiers. Photo unremarkable but description noted because of unspecific code.
1323	290	Blair leaving church with his son.
1327	34	Oft-repeated picture of marines taking up position in a building at Al Faw, lighting and depth give cinematic feel.
1335	62	Tank racing across desert, headline reads 'Saddam's last stand'.
1339	310	Picture shows a Fox vehicle used to find WMDs.
1341	38	UK marine in goggles and scarf, at position with huge machine gun on vehicle, caption reads 'prepared..commando yesterday'.
1344	26	Photo used to demonstrate land rover which two UK soldiers have disappeared from. Pretty sure this is an MoD photo used at the start of the war (repetition across time)
1346	371	Iraqi boys and men celebrate the downing of an Apache helicopter, mostly waving sticks, one noticable gun. Information ministers says peasants shot down the aircraft.
1346	58	Man walks with his two children in front of the downed helicopter, the caption points out that one child wears a Teletubbies T-shirt.
1358	170	Emphasis here is on 'The Life Savers' as the headline states. US marine on a stretcher, other photos show people being treated.
1360	372	Photo shows happy Iraqi children though it is not clear whether they are just greeting the media rather than troops, so not coded as 'welcoming to troops'. Context is the Sun's campaign 'give a quid'.
1361	117	Show's the Sun's game which you can play online, called 'Saddam Hunt'.
1362	340	Families visited by the Queen, including those whose husbands were shot down by Patriot missile.
1529	172	Main picture shows a wounded US soldier being helped, while another takes cover, his trousers are covered in dirt and he has no top on. Smaller photo shows US marine hobbling away in pain supported by fellow soldier.
1533	62	Two XL pictures contrast 'our' tank 'storming in' with Iraqi tank - wrecked on the outskirts of Basra.
1534	38	Desert Rats pose which portrait of Saddam found in Basra - article is small profile on their history.
1547	56	RAF officer hands a sweet to a small boy.
1551	10	Baghdad seen in red haze of sandstorm, statue of Saddam on left side - 'the Americans are at the door' - can't really decide tone on this.
1556	172	Same photo shown in Sun - US marine treated by comrade as another takes cover on the desert floor.
1560	37	Uk marines shelter in the mud near Basra, caption reads 'muddy hell' and headline is quite negative, but all the soldiers are smiling and this doesn't come across too negatively.
1564	177	'Fury' - crowds at the funeral of three victims of bombing raids.
1572	56	Front page photo with 'Liberators' headline, a UK soldier hands out sweets to Iraqi children.
1574	353	Desert Rats stand around portrait of Saddam - not quite destruction but implies conquest over Saddam.
1584	59	Detail of photo of peshmerga fighters - pretty sure same one from earlier.
1587	177	Photo seen before of mourners carrying coffins through a large crowd, also showing Iraq people against the coalition.
1593	37	A US soldier stands guard in the desert, whole photo is orange from the sandstorm.
1596	54	Children play with guns form a bombed munitions truck.
1596	152	Six or seven US soldiers shown carrying a wunded Iraqi prisoner - Iraq wounded often shown being helped by coalition.
1596	353	Same photo as before - UK soldiers surrund portrait of Saddam.
1603	372	Kurds shelter in a cave, light shines in with a painting-like quality.
1615	202	Syrians burn UK flag during a march in Damascus.
1623	56	Same photo from the Mail, a UK soldier hands out sweets to Iraqi children in Umm Qasr.
1641	202	Syrians burn Union Jack - seen in Independent.
1641	290	Blair's hands - strange mug shot! Fingers spearate and touching, plams facing each other.
1645	372	Iraqis return home 'they say' to defend their country. They smile, give the peace sign and show a dinar note with Saddam on it. Not sure which code to use.
1651	37	US troops shelter from sandstorms by vehicle, their faces covered, giving them almost a manniquin look.
1654	36	Photo shows US sailors photographing cruise missile as it launches from USS San Jacinto.
1666	202	Same photo of protesters in Syria burning Union flag.
1667	59	Peshmerga guerrillas - very familiar looking photo!
1668	76	Tommy Franks at a press conference.
1672	360	Cute Iraqi child with aid package - I think he is used for the Sun 'Iraqi kid' campaign, looking straight at camera.
1675	62	Burnt out Iraqi tank on the road to Basra.
1678	172	Large colour photo of US wounded soldier, helped by fellow troops, we can see the code written on his forehead by the medic, see his pain as he tries to move.
1678	37	Seen before - two soldiers take cover from sandstorm, faces covered.
1688	161	All three photos have appeared elsewhere - this is UK soldier on stretcher, others are credited as from Mail (353)
1695	300	Close-up of Bush, with Rumsfeld looking on in the background.
1702	371	Shows Iraqis clambering on overturned land rover, not really sure if best code. Caption starts; 'gloating'. We don't see the dead UK troops.
1703	134	A marine carries an Iraqi over his shoulders - could be coded as Iraqi casualty.
1703	32	Very small copy, but seen before photo of four marines about to launch a missile.
1704	37	Two large photos of 'muddy hell' US marines outside Nasiriyah. More about muddy conditions than battle progress, seems to imply they have control of the city.
1711	145	Iraqi child carried by a coalition soldier - this has absolutely no relevance to the story, bringing a heroic element to a story about a failed ambush.
1710	39	Red tinted photos of a US marine, on guard, checking compass, and 'relaxing with a cigarette'. Sandstorm provides natural filter.
1727	360	Smiling Iraqi boys grab aid parcels.
1727	372	Extra large photo of Iraqi boy sitting with a piece of bread on the sand, British tank in background. Very posed! He looks straight at camera, headline reads 'taste of freedom'.
1728	360	UK soldier kneals down and hands ration pack to Iraqi girl, smailing and facing the camera.
1730	142	Small colour photo of man killed in market bomb, his face is covered in blood, a crowd stoop over him, as one man covers his face (or more likely reveals it for the camera)
1732	37	US troops in muddy foxholes, looking pretty miserable. Also in Sun.
1735	372	A four-day old baby, in close up, 'is given British aid'.
1737	154	US soldier carries a wounded Iraqi soldier over his shoulders, he was shot three times during attempted ambush. Marine is named - also seen before.
1740	300	Photos of Bush to accompany deflating piece by Routledge - all captions have derogatory comments.
1742	360	Iraqi men reach up for aid parcels, headline reads 'aid rage' - emphasising the scramble and problesm rather than aid gettign through.
1742	116	Small picture from Iraqi point of view, the media get what pictures they can from on top of the aid truck - humiliating for Iraqis.
1751	145	Full page photo of named US marine carrying injured Iraqi boy; caption reads 'soldier of mercy' - also used in Sun. Not really connected to story.
1752	37	US marines in muddy foxhole, used in all three papers so far today. 'Quagmire'.
1758	134	Royal marine guards Iraqi prisoner - seen before.
1760	54	Images of Baghdad bombing seen before, boy running across front of photo, another boy carries girl in red jacket.
1761	116	Same photo of world media on an aid convoy - article critical of media for exaggerating setbacks.
1771	154	US soldier carries Iraqi soldier injured - much repeated photo.
1771	162	A UK soldier is evacuated by helicopter, five soldiers help with the stretcher.
1772	37	close up of US marine in sandstorm.
1774	140	Photo is close-up on feet of a casualty, not sure if Iraqi troop or civilian, though the dress suggests civilian, there also appears to be body a in background.
1780	360	Iraqis seen from above as aid parcels arrive from the Red Crescent, mostly men with arms out-stretched. In Mirror too.
1791	135	Iraqi prisoners with hands on their heads, seen from behind, not identifiable.
1796	142	Body of Iraqi man is covered up by local people, his face covered in blood - most shocking image for front page on this day - used before
1801	149	Body of Iraqi soldier in foreground, US marine walks past, behind, we see neither face.
1799	37	All four photos have been used before.
1805	360	Boys and men take water handed out by coalition, though headline says 'jubilation turns to hate as aid arrives'
1806	134	a British soldier smiles as he holds an Iraqi prisoner at gunpoint, and holds his head as he sits on the floor.
1811	300	Bush smiles and shakes hands at rally - used in Indep too.
1815	372	Dan Chung photo of four-day old baby - seen before.
1820	37	US marines in muddy foxhole - used in every paper today I think.
1825	372	Larger photo with four-day old baby, here we can also see UK nurse leaning over, with the baby in a cardboard box and blankets. Ahhh.
1830	54	Boy runs across foreground, burnt cars and 'carnage' in Baghdad, 'jeopardised the way that Americans are presenting themselves as liberators'
1847	62	US soldier sits on a tank, the gun protruding upwards. Not a lot to do with story.
1851	154	US marine carries Iraqi soldier shot three times, across his shoulders, heroic image much used.
1854	54	Much seen photo of Iraqi in foreground with burning cars and devastation - here the explanation is that the US were aiming at a mobile target.
1856	360	Same photo of Iraqi men struggling to grab aid boxes from lorry.
1858	37	Same photos of muddy conditions for US marines, contrasts to story on how UK troops are getting co-oeration from Iraqi people in Basra.
1860	39	Seen before, US egineer tries to get contact on radio, sandstorm turns everything orange.
1871	59	Kurdish militia men look down on Iraqi military base.
1874	38	UK soldier with four bullet holes in helmet.
1875	999	Pigeon adopted by UK troops after being accidentally shipped to Iraq.
1878	38	Cpl Clare O'Connor uses an umbrella to stay dry near Basra, compared in article to Major in 2WW.
1884	62	Wrecked T-55 tanks, after 'blitz'/ 'onslaught' by Desert Rats.
1884	38	Desert Rats sleep on their Challengers (in control, Keeble)
1884	353	Tank rolls over protrait of Saddam.
