ID	Reporting restrictions
75	None mentioned
76	None mentioned
77	None mentioned
78	None mentioned
79	None mentioned
80	‘Embedded’ reporter
81	‘Embedded’ reporter
82	‘Embedded’ reporter
83	None mentioned
84	None mentioned
85	None mentioned
86	None mentioned
87	None mentioned
88	None mentioned
89	None mentioned
90	None mentioned
91	‘Embedded’ reporter
93	None mentioned
94	‘Embedded’ reporter
95	‘Embedded’ reporter
96	‘Embedded’ reporter
97	None mentioned
98	None mentioned
99	None mentioned
100	None mentioned
101	None mentioned
102	None mentioned
103	None mentioned
104	None mentioned
105	None mentioned
106	None mentioned
107	None mentioned
108	None mentioned
109	None mentioned
110	None mentioned
111	None mentioned
112	‘Embedded’ reporter
113	‘Embedded’ reporter
114	None mentioned
115	Monitoring from Baghdad
116	Monitoring from Baghdad
117	‘Embedded’ reporter
118	‘Embedded’ reporter
119	‘Embedded’ reporter
120	‘Embedded’ reporter
121	None mentioned
122	None mentioned
123	None mentioned
124	None mentioned
125	None mentioned
126	None mentioned
92	None mentioned
127	None mentioned
129	None mentioned
130	None mentioned
131	None mentioned
132	None mentioned
133	None mentioned
134	None mentioned
135	‘Embedded’ reporter
136	‘Embedded’ reporter
137	‘Embedded’ reporter
138	‘Embedded’ reporter
139	None mentioned
140	None mentioned
141	None mentioned
142	None mentioned
143	None mentioned
144	None mentioned
145	None mentioned
146	None mentioned
147	None mentioned
148	None mentioned
149	None mentioned
150	‘Embedded’ reporter
151	None mentioned
152	None mentioned
153	None mentioned
154	‘Embedded’ reporter
155	‘Embedded’ reporter
156	‘Embedded’ reporter
156	Monitoring from Coalition
157	‘Embedded’ reporter
158	‘Embedded’ reporter
159	‘Embedded’ reporter
159	Monitoring from Coalition
160	None mentioned
161	None mentioned
162	None mentioned
163	None mentioned
164	None mentioned
165	‘Embedded’ reporter
166	None mentioned
167	None mentioned
168	None mentioned
169	‘Embedded’ reporter
170	None mentioned
171	None mentioned
172	‘Embedded’ reporter
173	‘Embedded’ reporter
174	‘Embedded’ reporter
175	None mentioned
176	None mentioned
177	None mentioned
178	None mentioned
179	None mentioned
180	None mentioned
181	None mentioned
182	None mentioned
183	None mentioned
184	‘Embedded’ reporter
185	‘Embedded’ reporter
186	None mentioned
187	None mentioned
188	None mentioned
189	None mentioned
190	None mentioned
191	None mentioned
192	None mentioned
193	None mentioned
194	‘Embedded’ reporter
195	‘Embedded’ reporter
196	‘Embedded’ reporter
197	Monitoring from Baghdad
198	None mentioned
199	None mentioned
200	None mentioned
201	None mentioned
202	None mentioned
203	None mentioned
204	None mentioned
205	‘Embedded’ reporter
206	‘Embedded’ reporter
207	None mentioned
208	None mentioned
209	‘Embedded’ reporter
210	‘Embedded’ reporter
211	‘Embedded’ reporter
212	‘Embedded’ reporter
213	‘Embedded’ reporter
214	None mentioned
215	None mentioned
216	None mentioned
217	None mentioned
218	None mentioned
219	None mentioned
220	None mentioned
221	None mentioned
222	None mentioned
223	None mentioned
224	None mentioned
225	None mentioned
226	None mentioned
227	None mentioned
228	None mentioned
606	None mentioned
229	‘Embedded’ reporter
230	None mentioned
231	‘Embedded’ reporter
232	‘Embedded’ reporter
233	‘Embedded’ reporter
234	None mentioned
235	None mentioned
236	None mentioned
237	None mentioned
238	None mentioned
239	None mentioned
240	None mentioned
241	None mentioned
242	None mentioned
243	None mentioned
244	‘Embedded’ reporter
245	‘Embedded’ reporter
246	‘Embedded’ reporter
247	‘Embedded’ reporter
248	Monitoring from Baghdad
249	None mentioned
250	Other
251	None mentioned
252	None mentioned
253	None mentioned
254	None mentioned
255	None mentioned
256	None mentioned
257	None mentioned
258	None mentioned
259	‘Embedded’ reporter
260	‘Embedded’ reporter
261	‘Embedded’ reporter
262	‘Embedded’ reporter
263	None mentioned
264	‘Embedded’ reporter
265	None mentioned
266	None mentioned
267	None mentioned
268	None mentioned
269	None mentioned
270	None mentioned
271	None mentioned
272	None mentioned
273	None mentioned
274	None mentioned
275	‘Embedded’ reporter
276	‘Embedded’ reporter
277	‘Embedded’ reporter
278	None mentioned
279	‘Embedded’ reporter
280	None mentioned
281	None mentioned
282	‘Embedded’ reporter
283	None mentioned
284	None mentioned
285	None mentioned
286	None mentioned
287	None mentioned
288	‘Embedded’ reporter
289	None mentioned
290	None mentioned
291	None mentioned
292	‘Embedded’ reporter
293	None mentioned
294	None mentioned
295	None mentioned
296	None mentioned
297	None mentioned
298	None mentioned
299	None mentioned
300	Warning of disturbing images
300	Monitoring from Baghdad
301	None mentioned
302	None mentioned
303	‘Embedded’ reporter
303	Monitoring from Coalition
304	‘Embedded’ reporter
305	Warning of disturbing images
306	‘Embedded’ reporter
307	‘Embedded’ reporter
308	None mentioned
309	None mentioned
310	None mentioned
311	None mentioned
312	None mentioned
313	None mentioned
314	None mentioned
315	None mentioned
316	None mentioned
318	None mentioned
319	‘Embedded’ reporter
320	None mentioned
321	None mentioned
322	‘Embedded’ reporter
323	‘Embedded’ reporter
324	‘Embedded’ reporter
325	None mentioned
326	None mentioned
328	None mentioned
329	None mentioned
330	None mentioned
331	None mentioned
332	None mentioned
333	None mentioned
334	None mentioned
335	None mentioned
336	None mentioned
337	None mentioned
338	‘Embedded’ reporter
339	None mentioned
340	None mentioned
341	None mentioned
342	‘Embedded’ reporter
343	Monitoring from Baghdad
344	None mentioned
345	None mentioned
346	None mentioned
347	None mentioned
348	None mentioned
349	‘Embedded’ reporter
350	‘Embedded’ reporter
351	None mentioned
352	‘Embedded’ reporter
353	None mentioned
354	None mentioned
355	None mentioned
356	None mentioned
357	‘Embedded’ reporter
358	Monitoring from Baghdad
359	None mentioned
360	None mentioned
361	None mentioned
362	None mentioned
363	None mentioned
364	None mentioned
365	None mentioned
366	None mentioned
367	None mentioned
368	‘Embedded’ reporter
369	None mentioned
370	None mentioned
371	‘Embedded’ reporter
372	None mentioned
373	None mentioned
374	‘Embedded’ reporter
375	‘Embedded’ reporter
376	None mentioned
377	None mentioned
378	Monitoring from Baghdad
379	‘Embedded’ reporter
380	‘Embedded’ reporter
381	None mentioned
382	None mentioned
383	None mentioned
384	None mentioned
385	None mentioned
386	None mentioned
387	None mentioned
388	None mentioned
389	None mentioned
391	Monitoring from Baghdad
392	None mentioned
393	‘Embedded’ reporter
394	‘Embedded’ reporter
395	‘Embedded’ reporter
396	‘Embedded’ reporter
397	None mentioned
398	None mentioned
399	None mentioned
400	None mentioned
401	None mentioned
402	None mentioned
403	None mentioned
404	None mentioned
405	Other
406	‘Embedded’ reporter
407	None mentioned
408	‘Embedded’ reporter
409	‘Embedded’ reporter
410	None mentioned
411	None mentioned
412	None mentioned
413	None mentioned
414	None mentioned
415	None mentioned
416	None mentioned
417	None mentioned
418	None mentioned
419	None mentioned
420	None mentioned
421	None mentioned
422	None mentioned
423	None mentioned
424	None mentioned
425	None mentioned
426	None mentioned
427	None mentioned
428	None mentioned
429	None mentioned
430	None mentioned
431	None mentioned
432	None mentioned
433	None mentioned
434	None mentioned
435	None mentioned
436	None mentioned
437	None mentioned
438	None mentioned
439	None mentioned
440	None mentioned
441	None mentioned
442	Monitoring from Baghdad
442	Monitoring from Coalition
443	None mentioned
444	Monitoring from Coalition
445	None mentioned
446	None mentioned
447	None mentioned
448	None mentioned
449	None mentioned
450	None mentioned
451	None mentioned
452	‘Embedded’ reporter
453	None mentioned
454	Monitoring from Baghdad
455	None mentioned
533	None mentioned
534	None mentioned
609	None mentioned
610	None mentioned
611	None mentioned
612	‘Embedded’ reporter
613	‘Embedded’ reporter
614	‘Embedded’ reporter
615	‘Embedded’ reporter
616	None mentioned
617	None mentioned
618	‘Embedded’ reporter
619	None mentioned
620	None mentioned
621	None mentioned
622	‘Embedded’ reporter
623	None mentioned
624	‘Embedded’ reporter
625	None mentioned
626	None mentioned
627	None mentioned
628	None mentioned
629	None mentioned
630	None mentioned
631	‘Embedded’ reporter
632	None mentioned
633	None mentioned
634	‘Embedded’ reporter
635	None mentioned
636	None mentioned
637	None mentioned
638	None mentioned
639	None mentioned
640	Warning of disturbing images
641	None mentioned
642	None mentioned
643	None mentioned
644	None mentioned
645	None mentioned
646	None mentioned
647	None mentioned
648	None mentioned
649	‘Embedded’ reporter
650	‘Embedded’ reporter
651	None mentioned
652	None mentioned
653	None mentioned
654	None mentioned
655	None mentioned
656	None mentioned
657	None mentioned
658	None mentioned
659	None mentioned
660	Monitoring from Baghdad
661	‘Embedded’ reporter
662	None mentioned
663	None mentioned
664	None mentioned
665	None mentioned
666	None mentioned
667	None mentioned
668	None mentioned
669	None mentioned
670	None mentioned
671	None mentioned
672	None mentioned
673	None mentioned
674	None mentioned
675	None mentioned
676	None mentioned
677	None mentioned
678	None mentioned
679	None mentioned
680	None mentioned
681	None mentioned
682	None mentioned
683	None mentioned
684	None mentioned
685	‘Embedded’ reporter
686	None mentioned
687	None mentioned
688	None mentioned
689	None mentioned
690	None mentioned
691	None mentioned
692	None mentioned
693	Warning of disturbing images
694	None mentioned
695	Other
696	None mentioned
697	None mentioned
698	None mentioned
699	None mentioned
700	None mentioned
701	None mentioned
702	None mentioned
703	None mentioned
704	None mentioned
705	None mentioned
706	None mentioned
707	‘Embedded’ reporter
708	None mentioned
709	None mentioned
710	None mentioned
711	None mentioned
712	None mentioned
713	None mentioned
714	None mentioned
715	None mentioned
716	‘Embedded’ reporter
717	None mentioned
718	None mentioned
719	None mentioned
720	None mentioned
721	None mentioned
722	None mentioned
723	None mentioned
724	None mentioned
725	None mentioned
726	None mentioned
727	None mentioned
728	None mentioned
729	None mentioned
730	None mentioned
650	Other
732	None mentioned
733	None mentioned
734	None mentioned
735	None mentioned
736	None mentioned
737	None mentioned
738	None mentioned
739	None mentioned
740	None mentioned
741	None mentioned
742	None mentioned
743	None mentioned
744	None mentioned
745	None mentioned
746	None mentioned
747	None mentioned
748	None mentioned
749	None mentioned
750	None mentioned
751	None mentioned
752	None mentioned
753	None mentioned
754	None mentioned
755	None mentioned
756	None mentioned
757	None mentioned
758	None mentioned
759	None mentioned
760	None mentioned
761	None mentioned
762	None mentioned
763	None mentioned
764	None mentioned
765	None mentioned
766	None mentioned
767	None mentioned
768	None mentioned
769	None mentioned
770	None mentioned
771	None mentioned
772	Warning of disturbing images
773	None mentioned
774	None mentioned
775	None mentioned
776	None mentioned
777	None mentioned
778	None mentioned
779	None mentioned
780	None mentioned
781	None mentioned
782	None mentioned
783	None mentioned
785	None mentioned
786	None mentioned
787	None mentioned
788	None mentioned
789	None mentioned
790	None mentioned
791	None mentioned
792	None mentioned
793	None mentioned
794	None mentioned
795	None mentioned
796	None mentioned
797	None mentioned
798	None mentioned
799	None mentioned
800	None mentioned
801	None mentioned
802	None mentioned
803	None mentioned
804	None mentioned
805	None mentioned
806	None mentioned
807	None mentioned
808	None mentioned
809	None mentioned
810	None mentioned
811	None mentioned
812	None mentioned
813	None mentioned
814	None mentioned
815	None mentioned
816	None mentioned
784	None mentioned
817	Other
818	None mentioned
819	None mentioned
820	None mentioned
821	None mentioned
822	None mentioned
823	None mentioned
824	None mentioned
825	None mentioned
826	None mentioned
827	None mentioned
828	None mentioned
829	None mentioned
830	None mentioned
831	None mentioned
832	None mentioned
833	None mentioned
834	None mentioned
835	None mentioned
836	None mentioned
837	None mentioned
838	None mentioned
839	None mentioned
840	None mentioned
841	None mentioned
842	None mentioned
843	None mentioned
844	None mentioned
845	None mentioned
846	None mentioned
847	None mentioned
848	None mentioned
849	None mentioned
850	None mentioned
851	None mentioned
852	None mentioned
853	None mentioned
854	None mentioned
855	None mentioned
856	None mentioned
857	None mentioned
858	None mentioned
859	None mentioned
860	None mentioned
861	None mentioned
862	None mentioned
863	None mentioned
864	None mentioned
865	None mentioned
866	None mentioned
867	None mentioned
868	None mentioned
869	‘Embedded’ reporter
870	None mentioned
871	None mentioned
872	None mentioned
873	None mentioned
874	‘Embedded’ reporter
875	None mentioned
876	‘Embedded’ reporter
877	‘Embedded’ reporter
878	None mentioned
879	None mentioned
880	None mentioned
881	Other
882	None mentioned
883	None mentioned
884	None mentioned
885	None mentioned
886	‘Embedded’ reporter
887	None mentioned
888	‘Embedded’ reporter
889	None mentioned
890	None mentioned
891	None mentioned
892	None mentioned
893	None mentioned
894	None mentioned
895	None mentioned
896	‘Embedded’ reporter
897	‘Embedded’ reporter
898	None mentioned
899	None mentioned
900	None mentioned
901	None mentioned
902	None mentioned
903	None mentioned
904	None mentioned
905	None mentioned
906	None mentioned
907	None mentioned
908	None mentioned
909	‘Embedded’ reporter
910	None mentioned
911	None mentioned
912	‘Embedded’ reporter
913	None mentioned
914	None mentioned
915	None mentioned
916	None mentioned
917	None mentioned
918	None mentioned
919	None mentioned
920	None mentioned
921	None mentioned
922	None mentioned
923	None mentioned
924	None mentioned
925	‘Embedded’ reporter
926	None mentioned
927	None mentioned
928	None mentioned
929	‘Embedded’ reporter
930	None mentioned
931	None mentioned
932	None mentioned
933	‘Embedded’ reporter
934	None mentioned
935	None mentioned
936	None mentioned
937	None mentioned
938	None mentioned
939	None mentioned
940	None mentioned
941	None mentioned
942	None mentioned
943	None mentioned
944	None mentioned
946	None mentioned
947	Monitoring from Coalition
948	None mentioned
949	None mentioned
951	None mentioned
952	Monitoring from Baghdad
950	None mentioned
953	‘Embedded’ reporter
954	None mentioned
955	Monitoring from Coalition
955	‘Embedded’ reporter
956	None mentioned
957	None mentioned
958	Monitoring from Coalition
958	‘Embedded’ reporter
959	‘Embedded’ reporter
960	None mentioned
961	None mentioned
962	None mentioned
963	None mentioned
964	None mentioned
965	None mentioned
966	Location sensitive
966	‘Embedded’ reporter
967	Monitoring from Baghdad
968	‘Embedded’ reporter
969	None mentioned
970	None mentioned
971	None mentioned
972	‘Embedded’ reporter
973	None mentioned
974	None mentioned
975	None mentioned
976	None mentioned
977	‘Embedded’ reporter
978	None mentioned
979	None mentioned
980	None mentioned
981	None mentioned
982	None mentioned
983	None mentioned
984	None mentioned
985	None mentioned
986	Monitoring from Baghdad
986	Warning of disturbing images
987	None mentioned
988	None mentioned
989	None mentioned
990	None mentioned
991	None mentioned
992	‘Embedded’ reporter
993	None mentioned
994	None mentioned
995	None mentioned
996	Monitoring from Coalition
996	‘Embedded’ reporter
997	Monitoring from Coalition
997	‘Embedded’ reporter
998	None mentioned
999	None mentioned
1000	None mentioned
1001	Monitoring from Baghdad
1002	None mentioned
1003	None mentioned
1004	None mentioned
1005	None mentioned
1006	None mentioned
1007	Monitoring from Baghdad
1008	None mentioned
1009	‘Embedded’ reporter
1010	Monitoring from Coalition
1011	None mentioned
1012	‘Embedded’ reporter
1013	None mentioned
1014	‘Embedded’ reporter
1015	Monitoring from Coalition
1015	‘Embedded’ reporter
1016	Monitoring from Baghdad
1017	None mentioned
1018	None mentioned
1019	None mentioned
1020	None mentioned
1021	None mentioned
1022	None mentioned
1023	None mentioned
1024	None mentioned
1025	None mentioned
1026	‘Embedded’ reporter
945	None mentioned
1027	Monitoring from Baghdad
1028	None mentioned
1029	‘Embedded’ reporter
1030	None mentioned
1031	None mentioned
1032	None mentioned
1033	‘Embedded’ reporter
1034	‘Embedded’ reporter
1035	Monitoring from Baghdad
1036	None mentioned
1037	None mentioned
1038	‘Embedded’ reporter
1038	Monitoring from Coalition
1039	None mentioned
1040	‘Embedded’ reporter
1041	‘Embedded’ reporter
1041	Monitoring from Coalition
1042	None mentioned
1043	‘Embedded’ reporter
1044	‘Embedded’ reporter
1045	Monitoring from Coalition
1045	‘Embedded’ reporter
1046	‘Embedded’ reporter
1047	Monitoring from Baghdad
1048	None mentioned
1049	‘Embedded’ reporter
1049	Monitoring from Coalition
1050	Monitoring from Coalition
1050	‘Embedded’ reporter
1051	None mentioned
1052	None mentioned
1053	‘Embedded’ reporter
1054	Monitoring from Baghdad
1055	None mentioned
1056	‘Embedded’ reporter
1057	‘Embedded’ reporter
1058	Monitoring from Coalition
1058	‘Embedded’ reporter
1059	Other
1059	‘Embedded’ reporter
1060	None mentioned
1061	None mentioned
1062	None mentioned
1063	None mentioned
1064	None mentioned
1065	None mentioned
1066	None mentioned
1067	None mentioned
1068	None mentioned
1069	None mentioned
1070	None mentioned
1071	‘Embedded’ reporter
1072	None mentioned
1073	None mentioned
1074	None mentioned
1075	None mentioned
1076	None mentioned
1077	None mentioned
1078	None mentioned
1079	None mentioned
1080	None mentioned
1081	None mentioned
1082	None mentioned
1083	None mentioned
1084	None mentioned
1085	None mentioned
1086	None mentioned
1087	None mentioned
1088	None mentioned
1089	None mentioned
1090	None mentioned
1091	None mentioned
1092	None mentioned
1093	None mentioned
1094	None mentioned
1095	None mentioned
1096	None mentioned
1097	None mentioned
1098	None mentioned
1099	None mentioned
1100	None mentioned
1101	None mentioned
1102	None mentioned
1103	None mentioned
1104	None mentioned
1105	None mentioned
1106	None mentioned
1107	None mentioned
1108	None mentioned
1109	None mentioned
1110	None mentioned
1111	None mentioned
1112	None mentioned
1113	None mentioned
1114	None mentioned
1115	None mentioned
1116	None mentioned
1117	None mentioned
1118	None mentioned
1119	None mentioned
1120	None mentioned
1121	‘Embedded’ reporter
1122	‘Embedded’ reporter
1123	‘Embedded’ reporter
1124	None mentioned
1125	None mentioned
1126	None mentioned
1127	None mentioned
1128	None mentioned
1129	‘Embedded’ reporter
1130	None mentioned
1131	None mentioned
1132	‘Embedded’ reporter
1133	None mentioned
1134	None mentioned
1135	None mentioned
1136	None mentioned
1137	None mentioned
1138	‘Embedded’ reporter
1138	Monitoring from Coalition
1139	None mentioned
1140	None mentioned
1141	None mentioned
1142	None mentioned
1143	None mentioned
1144	‘Embedded’ reporter
1145	None mentioned
1146	None mentioned
1147	None mentioned
1148	None mentioned
1149	None mentioned
1150	None mentioned
1151	None mentioned
1152	None mentioned
1153	None mentioned
1154	None mentioned
1155	None mentioned
1156	‘Embedded’ reporter
1157	None mentioned
1158	‘Embedded’ reporter
1159	None mentioned
1160	None mentioned
1161	None mentioned
1162	None mentioned
1163	None mentioned
1164	None mentioned
1165	None mentioned
1166	‘Embedded’ reporter
1167	None mentioned
1168	None mentioned
1169	None mentioned
1170	None mentioned
1171	None mentioned
1172	Warning of disturbing images
1173	None mentioned
1174	None mentioned
1175	None mentioned
1176	None mentioned
1177	None mentioned
1178	None mentioned
1179	None mentioned
1180	None mentioned
1181	‘Embedded’ reporter
1182	None mentioned
1183	None mentioned
1184	‘Embedded’ reporter
1185	None mentioned
1186	‘Embedded’ reporter
1187	None mentioned
1188	None mentioned
1189	None mentioned
1190	None mentioned
1191	None mentioned
1192	None mentioned
1193	‘Embedded’ reporter
1194	None mentioned
1195	‘Embedded’ reporter
1196	None mentioned
1197	None mentioned
1198	None mentioned
1199	None mentioned
1200	None mentioned
1201	None mentioned
1202	None mentioned
1203	None mentioned
1204	None mentioned
1205	None mentioned
1206	None mentioned
1207	None mentioned
1208	None mentioned
1209	None mentioned
1210	‘Embedded’ reporter
1211	None mentioned
1212	None mentioned
1213	None mentioned
1214	‘Embedded’ reporter
1215	None mentioned
1216	None mentioned
1217	None mentioned
1218	None mentioned
1219	None mentioned
1220	‘Embedded’ reporter
1220	Monitoring from Coalition
1221	None mentioned
1222	Monitoring from Baghdad
1223	None mentioned
1224	None mentioned
1225	None mentioned
1226	None mentioned
1227	None mentioned
1228	None mentioned
1229	None mentioned
1230	None mentioned
1231	None mentioned
1232	None mentioned
1233	None mentioned
1234	None mentioned
1235	‘Embedded’ reporter
1235	Monitoring from Coalition
1236	Monitoring from Baghdad
1237	None mentioned
1238	Monitoring from Baghdad
1239	Monitoring from Coalition
1239	‘Embedded’ reporter
1240	None mentioned
1241	None mentioned
1242	‘Embedded’ reporter
1243	None mentioned
1244	None mentioned
1245	‘Embedded’ reporter
1246	None mentioned
1247	None mentioned
1248	None mentioned
1249	None mentioned
1250	‘Embedded’ reporter
1251	Monitoring from Coalition
1251	‘Embedded’ reporter
1252	None mentioned
1253	None mentioned
1254	None mentioned
1255	None mentioned
1256	None mentioned
1257	None mentioned
1258	None mentioned
1259	None mentioned
1260	None mentioned
1261	None mentioned
1262	None mentioned
1263	None mentioned
1264	None mentioned
1265	None mentioned
1266	None mentioned
1267	None mentioned
1268	None mentioned
1269	None mentioned
1270	None mentioned
1271	None mentioned
1272	None mentioned
1273	None mentioned
1274	None mentioned
1275	None mentioned
1276	None mentioned
1277	None mentioned
1278	None mentioned
1279	None mentioned
1280	None mentioned
1281	None mentioned
1282	None mentioned
1283	None mentioned
1284	None mentioned
1285	None mentioned
1286	None mentioned
1287	None mentioned
1288	‘Embedded’ reporter
1289	‘Embedded’ reporter
1289	Other
1290	None mentioned
1291	None mentioned
1292	None mentioned
1293	None mentioned
1294	None mentioned
